,NAME,INT,INT_rank
159,Anthony Harris,6,1.5
173,Tre'Davious White,6,1.5
117,Kevin King,5,6.0
168,Devin McCourty,5,6.0
106,Minkah Fitzpatrick,5,6.0
16,Darius Leonard,5,6.0
56,Kevin Byard,5,6.0
152,Janoris Jenkins,5,6.0
119,Joe Haden,5,6.0
9,Joe Schobert,4,12.0
191,Marcus Williams,4,12.0
46,Justin Simmons,4,12.0
84,Tyrann Mathieu,4,12.0
21,Logan Ryan,4,12.0
59,Kyle Fuller,3,22.5
88,Erik Harris,3,22.5
63,Tre Flowers,3,22.5
166,Juan Thornhill,3,22.5
2,Jordan Hicks,3,22.5
196,Rayshawn Jenkins,3,22.5
190,Tre Herndon,3,22.5
125,James Bradberry,3,22.5
111,Tre Boston,3,22.5
53,Harrison Smith,3,22.5
60,Jamie Collins,3,22.5
90,Damontae Kazee,3,22.5
122,Marlon Humphrey,3,22.5
10,KJ Wright,3,22.5
43,Jessie Bates III,3,22.5
149,Richard Sherman,3,22.5
104,Brad McDougald,2,44.5
41,Taylor Rapp,2,44.5
69,Jarrod Wilson,2,44.5
142,Ross Cockrell,2,44.5
73,Ha'Sean Clinton-Dix,2,44.5
54,Adrian Amos,2,44.5
143,Montae Nicholson,2,44.5
52,Ricardo Allen,2,44.5
89,Charvarius Ward,2,44.5
155,Kenny Moore,2,44.5
87,Neville Hewitt,2,44.5
4,Luke Kuechly,2,44.5
193,Darnell Savage,2,44.5
8,Cory Littleton,2,44.5
189,TJ Watt,2,44.5
12,De'Vondre Campbell,2,44.5
176,Daniel Sorensen,2,44.5
74,Nathan Gerry,2,44.5
75,Justin Reid,2,44.5
79,Levi Wallace,2,44.5
164,Jaire Alexander,2,44.5
102,Kareem Jackson,2,44.5
29,Devin Bush,2,44.5
77,Xavier Woods,2,44.5
76,Rodney McLeod,2,44.5
33,Jordan Poyer,2,44.5
158,Eddie Jackson,2,44.5
101,Ronnie Harrison,2,44.5
108,AJ Klein,1,91.0
100,Mychal Kendricks,1,91.0
93,Nicholas Morrow,1,91.0
92,Chuck Clark,1,91.0
109,Jordan Whitehead,1,91.0
110,Harold Landry,1,91.0
95,Micah Hyde,1,91.0
0,Bobby Wagner,1,91.0
118,Myles Jack,1,91.0
197,Justin Coleman,1,91.0
183,Chris Harris,1,91.0
181,Preston Smith,1,91.0
180,Jalen Thompson,1,91.0
179,Marshon Lattimore,1,91.0
175,Trae Waynes,1,91.0
172,Daryl Worley,1,91.0
171,Jahlani Tavai,1,91.0
165,Shaquil Barrett,1,91.0
163,Vince Biegel,1,91.0
162,Brian Poole,1,91.0
161,Jomal Wiltz,1,91.0
160,Carlton Davis,1,91.0
153,Nigel Bradham,1,91.0
151,Steven Nelson,1,91.0
150,Vernon Hargreaves,1,91.0
141,Rock Ya-Sin,1,91.0
135,Darryl Roberts,1,91.0
126,AJ Bouye,1,91.0
123,Mike Hilton,1,91.0
120,Marcus Maye,1,91.0
114,Denzel Perryman,1,91.0
147,Lawrence Guy,1,91.0
199,Clayton Geathers,1,91.0
37,Jon Bostic,1,91.0
65,Eric Rowe,1,91.0
14,Anthony Walker,1,91.0
15,Lavonte David,1,91.0
62,Mark Barron,1,91.0
61,Mack Wilson,1,91.0
17,Fred Warner,1,91.0
27,Antoine Bethea,1,91.0
38,Tracy Walker,1,91.0
55,Kenny Vaccaro,1,91.0
26,Deion Jones,1,91.0
51,Sean Lee,1,91.0
19,Tremaine Edmunds,1,91.0
25,Nick Vigil,1,91.0
20,Shawn Williams,1,91.0
49,Vonn Bell,1,91.0
13,Jerome Baker,1,91.0
67,Alec Ogletree,1,91.0
48,Devin White,1,91.0
70,Chidobe Awuzie,1,91.0
1,Blake Martinez,1,91.0
83,Jabrill Peppers,1,91.0
36,Jayon Brown,1,91.0
42,Roquan Smith,1,91.0
6,Jaylon Smith,1,91.0
68,James Burgess,1,91.0
78,Nick Kwiatkoski,1,91.0
86,Jamal Adams,1,91.0
72,Byron Murphy,1,91.0
71,Anthony Barr,1,91.0
47,Dre Greenlaw,1,91.0
24,Demario Davis,1,91.0
31,Eric Weddle,0,162.0
34,Cole Holcomb,0,162.0
28,Eric Kendricks,0,162.0
35,Terrell Edmunds,0,162.0
157,Javon Hargrave,0,162.0
156,Donald Payne,0,162.0
30,Shaq Thompson,0,162.0
167,Devon Kennard,0,162.0
32,Tahir Whitehead,0,162.0
91,Davon Godchaux,0,162.0
170,Dante Fowler Jr,0,162.0
3,Budda Baker,0,162.0
195,Matt Judon,0,162.0
194,Preston Brown,0,162.0
5,Zach Cunningham,0,162.0
192,Vince Williams,0,162.0
7,Todd Davis,0,162.0
11,Eric Reid,0,162.0
188,Lorenzo Alexander,0,162.0
169,Troy Reeder,0,162.0
187,Christian Wilkins,0,162.0
185,Da'ron Payne,0,162.0
184,Ben Niemann,0,162.0
182,Tyeler Davison,0,162.0
178,Kyle Van Noy,0,162.0
18,Landon Collins,0,162.0
174,Eli Apple,0,162.0
22,Thomas Davis,0,162.0
23,Rashaan Evans,0,162.0
186,Za'Darius Smith,0,162.0
177,Calais Campbell,0,162.0
145,Danny Shelton,0,162.0
39,Matt Milano,0,162.0
58,David Mayo,0,162.0
64,Damien Wilson,0,162.0
116,Rashaan Melvin,0,162.0
115,Joey Bosa,0,162.0
113,Jonathan Allen,0,162.0
112,Bud Dupree,0,162.0
66,Malcolm Jenkins,0,162.0
107,Grady Jarrett,0,162.0
105,Danny Trevathan,0,162.0
103,Danielle Hunter,0,162.0
80,Germaine Pratt,0,162.0
81,Haason Reddick,0,162.0
198,Arik Armstead,0,162.0
98,Dont'a Hightower,0,162.0
97,Leighton Vander Esch,0,162.0
96,Raekwon McMillan,0,162.0
82,Sam Hubbard,0,162.0
94,Markus Golden,0,162.0
85,Drue Tranquill,0,162.0
121,Joe Walker,0,162.0
154,Damarious Randall,0,162.0
57,Cameron Heyward,0,162.0
50,Anthony Hitchens,0,162.0
40,Benardrick McKinney,0,162.0
148,Deandre Baker,0,162.0
44,Tavon Wilson,0,162.0
146,Kenny Clark,0,162.0
144,Foyesade Oluokun,0,162.0
45,Alexander Johnson,0,162.0
140,Isaiah Oliver,0,162.0
139,Eric Wilson,0,162.0
138,Deforest Buckner,0,162.0
137,Sheldon Richardson,0,162.0
136,Jarrad Davis,0,162.0
134,Jeff Heath,0,162.0
133,Carlos Dunlap,0,162.0
132,Xavier Rhodes,0,162.0
131,Michael Brockers,0,162.0
130,Matt Ioannidis,0,162.0
129,Jimmie Ward,0,162.0
128,Shaquill Griffin,0,162.0
127,Patrick Onwuasor,0,162.0
124,Bobby Okereke,0,162.0
99,Khari Willis,0,162.0
