,NAME,FUMR TD,FUMR TD_rank
5,Telvin Smith,0,105.0
6,Mason Foster,0,105.0
7,Luke Kuechly,0,105.0
8,Tahir Whitehead,0,105.0
9,Cory Littleton,0,105.0
10,Kiko Alonso,0,105.0
11,Fred Warner,0,105.0
12,Roquan Smith,0,105.0
13,Avery Williamson,0,105.0
15,Tremaine Edmunds,0,105.0
16,Antoine Bethea,0,105.0
17,John Johnson,0,105.0
18,Lavonte David,0,105.0
19,Jamal Adams,0,105.0
20,Todd Davis,0,105.0
21,Wesley Woodyard,0,105.0
22,Jessie Bates III,0,105.0
48,Alec Ogletree,0,105.0
49,Ha'Sean Clinton-Dix,0,105.0
51,Foyesade Oluokun,0,105.0
52,Jordan Hicks,0,105.0
78,Thomas Davis,0,105.0
79,Terrell Edmunds,0,105.0
80,Quandre Diggs,0,105.0
81,Brad McDougald,0,105.0
82,Lamarcus Joyner,0,105.0
83,Matt Milano,0,105.0
84,Ron Parker,0,105.0
85,Kenny Moore,0,105.0
86,Jordan Whitehead,0,105.0
87,Vince Williams,0,105.0
88,Logan Ryan,0,105.0
89,Jahleel Addae,0,105.0
90,Brian Poole,0,105.0
91,Curtis Riley,0,105.0
92,Mike Adams,0,105.0
93,Eli Apple,0,105.0
95,Glover Quin,0,105.0
96,Travis Carrie,0,105.0
97,Tony Jefferson,0,105.0
98,Darron Lee,0,105.0
198,Deion Jones,0,105.0
77,Shaq Thompson,0,105.0
101,Adrian Amos,0,105.0
76,Tre Boston,0,105.0
74,Jabrill Peppers,0,105.0
53,Kevin Byard,0,105.0
54,Tyrann Mathieu,0,105.0
55,Clayton Geathers,0,105.0
56,Justin Reid,0,105.0
57,Vonn Bell,0,105.0
58,Kareem Jackson,0,105.0
59,Reggie Ragland,0,105.0
60,TJ McDonald,0,105.0
61,Jeff Heath,0,105.0
62,Harrison Smith,0,105.0
63,Damarious Randall,0,105.0
64,Patrick Chung,0,105.0
65,Nick Vigil,0,105.0
66,Devin McCourty,0,105.0
67,Kendall Fuller,0,105.0
68,Damon Harrison,0,105.0
69,Damontae Kazee,0,105.0
70,Minkah Fitzpatrick,0,105.0
71,Haason Reddick,0,105.0
72,Jerome Baker,0,105.0
73,Sean Davis,0,105.0
75,Pierre Desir,0,105.0
99,Donte Jackson,0,105.0
