,NAME,FUMR,FUMR_rank
186,Derrick Kindred,0,139.0
185,Dre Kirkpatrick,0,139.0
184,Grady Jarrett,0,139.0
183,Kendall Fuller,0,139.0
182,Quandre Diggs,0,139.0
181,Cory James,0,139.0
180,Kenny Clark,0,139.0
179,Anthony Brown,0,139.0
178,Xavier Rhodes,0,139.0
177,Marcus Gilchrist,0,139.0
175,Brandon Carr,0,139.0
174,AJ Bouye,0,139.0
173,Jonathan Cyprien,0,139.0
172,Jabrill Peppers,0,139.0
171,Calvin Munson,0,139.0
170,Antoine Bethea,0,139.0
167,Shaquill Griffin,0,139.0
166,Lawrence Guy,0,139.0
165,Bruce Irvin,0,139.0
163,EJ Gaines,0,139.0
157,Nicholas Morrow,0,139.0
155,Mike Hilton,0,139.0
153,Malcolm Butler,0,139.0
152,Jurrell Casey,0,139.0
147,Jamar Taylor,0,139.0
168,Deshazor Everett,0,139.0
99,Marcus Williams,0,139.0
124,Vontaze Burfict,0,139.0
46,Reggie Nelson,0,139.0
48,Earl Thomas,0,139.0
50,Ramon Humber,0,139.0
51,Darqueze Dennard,0,139.0
52,James Bradberry,0,139.0
53,Mark Barron,0,139.0
45,Zach Cunningham,0,139.0
56,Vincent Rey,0,139.0
58,Anthony Hitchens,0,139.0
59,Vonn Bell,0,139.0
62,Micah Hyde,0,139.0
63,Todd Davis,0,139.0
64,Deone Bucannon,0,139.0
65,Jaylon Smith,0,139.0
57,Lawrence Timmons,0,139.0
67,Byron Jones,0,139.0
43,Daniel Sorensen,0,139.0
37,Sean Davis,0,139.0
1,Preston Brown,0,139.0
2,Joe Schobert,0,139.0
4,Deion Jones,0,139.0
9,Zach Brown,0,139.0
14,Kiko Alonso,0,139.0
15,Eric Kendricks,0,139.0
42,Vince Williams,0,139.0
18,Antonio Morrison,0,139.0
25,Kwon Alexander,0,139.0
27,Jahleel Addae,0,139.0
30,Benardrick McKinney,0,139.0
33,Darron Lee,0,139.0
35,De'Vondre Campbell,0,139.0
36,Avery Williamson,0,139.0
22,Sean Lee,0,139.0
69,Marcus Maye,0,139.0
70,Ha'Sean Clinton-Dix,0,139.0
72,George Iloka,0,139.0
198,AJ Klein,0,139.0
101,Reuben Foster,0,139.0
102,Andre Hal,0,139.0
104,John Johnson,0,139.0
106,Adoree` Jackson,0,139.0
107,Josh Jones,0,139.0
97,Kareem Jackson,0,139.0
108,Lorenzo Alexander,0,139.0
113,Brad McDougald,0,139.0
116,Justin Simmons,0,139.0
117,Morgan Burnett,0,139.0
120,Kyle Fuller,0,139.0
121,Robert Alford,0,139.0
122,Jeff Heath,0,139.0
112,Jason Pierre-Paul,0,139.0
96,Kyle Van Noy,0,139.0
95,James Burgess,0,139.0
94,Kendell Beckwith,0,139.0
73,DJ Swearinger,0,139.0
74,Tre Boston,0,139.0
76,Andrew Sendejo,0,139.0
78,Tony Jefferson,0,139.0
79,Harrison Smith,0,139.0
80,Nick Vigil,0,139.0
81,Dontae Johnson,0,139.0
82,Chris Conte,0,139.0
83,Tyrann Mathieu,0,139.0
84,Damon Harrison,0,139.0
87,Darian Thompson,0,139.0
88,Anthony Barr,0,139.0
89,Desmond King,0,139.0
90,Mychal Kendricks,0,139.0
91,Barry Church,0,139.0
125,Tyvon Branch,0,139.0
199,Jaquiski Tartt,0,139.0
