,NAME,FUMR,FUMR_rank
23,Lavonte David,5,1.0
16,Tahir Whitehead,4,2.0
98,Eddie Jackson,3,3.5
12,Reshad Jones,3,3.5
0,Blake Martinez,2,15.0
190,Artie Burns,2,15.0
49,Kevin Byard,2,15.0
176,Melvin Ingram,2,15.0
55,Travis Carrie,2,15.0
60,Patrick Chung,2,15.0
61,Jamal Adams,2,15.0
71,Craig Robertson,2,15.0
160,Demarcus Lawrence,2,15.0
159,Jadeveon Clowney,2,15.0
141,Buster Skrine,2,15.0
110,Mike Adams,2,15.0
111,Tre'Davious White,2,15.0
21,Telvin Smith,2,15.0
20,Landon Collins,2,15.0
126,Ron Parker,2,15.0
11,Wesley Woodyard,2,15.0
10,Luke Kuechly,2,15.0
13,Keanu Neal,2,15.0
6,CJ Mosley,2,15.0
195,Rodney McLeod,2,15.0
68,Jatavis Brown,1,51.5
3,Christian Kirksey,1,51.5
66,Jake Ryan,1,51.5
103,Derrick Johnson,1,51.5
137,Eric Weddle,1,51.5
164,Zach Vigil,1,51.5
8,NaVorro Bowman,1,51.5
194,K'Waun Williams,1,51.5
105,Joey Bosa,1,51.5
92,Martrell Spaight,1,51.5
127,Trumaine Johnson,1,51.5
169,Von Miller,1,51.5
7,Bobby Wagner,1,51.5
162,Justin Houston,1,51.5
19,Brandon Marshall,1,51.5
75,Karl Joseph,1,51.5
5,Demario Davis,1,51.5
77,Khalil Mack,1,51.5
158,Kenny Vaccaro,1,51.5
156,Matt Judon,1,51.5
154,Darius Slay,1,51.5
85,Thomas Davis,1,51.5
86,Kurt Coleman,1,51.5
150,Ryan Smith,1,51.5
149,Manti Te'o,1,51.5
148,Deforest Buckner,1,51.5
100,Hayes Pullard,1,51.5
54,Glover Quin,1,51.5
93,Malcolm Jenkins,1,51.5
109,Budda Baker,1,51.5
17,KJ Wright,1,51.5
123,Eric Reid,1,51.5
24,Jon Bostic,1,51.5
26,Devin McCourty,1,51.5
130,Tashaun Gipson,1,51.5
28,Matthias Farley,1,51.5
29,Jarrad Davis,1,51.5
31,Karlos Dansby,1,51.5
32,Alec Ogletree,1,51.5
119,Calais Campbell,1,51.5
118,Linval Joseph,1,51.5
38,Danny Trevathan,1,51.5
39,Patrick Onwuasor,1,51.5
34,Jordan Poyer,1,51.5
41,Christian Jones,1,51.5
197,Mike Mitchell,1,51.5
115,Adrian Amos,1,51.5
114,Elandon Roberts,1,51.5
44,Ryan Shazier,1,51.5
134,Josh Norman,1,51.5
40,Myles Jack,1,51.5
47,Nigel Bradham,1,51.5
146,Paul Posluszny,0,139.0
196,Ken Crawley,0,139.0
128,Justin Evans,0,139.0
145,Trey Flowers,0,139.0
138,Jalen Ramsey,0,139.0
129,Jason McCourty,0,139.0
144,Adrian Phillips,0,139.0
139,Brian Poole,0,139.0
135,Darian Stewart,0,139.0
142,Cameron Jordan,0,139.0
131,Trae Waynes,0,139.0
136,Brock Coyle,0,139.0
140,Ray Ray Armstrong,0,139.0
132,Daryl Worley,0,139.0
133,Jalen Mills,0,139.0
143,Logan Ryan,0,139.0
191,Ricardo Allen,0,139.0
161,Chandler Jones,0,139.0
151,Shaq Thompson,0,139.0
192,TJ Watt,0,139.0
193,Jourdan Lewis,0,139.0
189,Michael Brockers,0,139.0
188,Trevor Williams,0,139.0
187,Tavon Wilson,0,139.0
