,NAME,FUMR,FUMR_rank
49,Vonn Bell,5,1.0
48,Devin White,4,4.0
29,Devin Bush,4,4.0
138,Deforest Buckner,4,4.0
8,Cory Littleton,4,4.0
189,TJ Watt,4,4.0
122,Marlon Humphrey,3,8.0
106,Minkah Fitzpatrick,3,8.0
33,Jordan Poyer,3,8.0
25,Nick Vigil,2,17.5
27,Antoine Bethea,2,17.5
40,Benardrick McKinney,2,17.5
178,Kyle Van Noy,2,17.5
44,Tavon Wilson,2,17.5
112,Bud Dupree,2,17.5
110,Harold Landry,2,17.5
53,Harrison Smith,2,17.5
167,Devon Kennard,2,17.5
73,Ha'Sean Clinton-Dix,2,17.5
136,Jarrad Davis,2,17.5
28,Eric Kendricks,2,17.5
5,Zach Cunningham,2,17.5
147,Lawrence Guy,2,17.5
11,Eric Reid,2,17.5
143,Montae Nicholson,2,17.5
150,Vernon Hargreaves,1,56.5
66,Malcolm Jenkins,1,56.5
164,Jaire Alexander,1,56.5
141,Rock Ya-Sin,1,56.5
63,Tre Flowers,1,56.5
158,Eddie Jackson,1,56.5
62,Mark Barron,1,56.5
198,Arik Armstead,1,56.5
108,AJ Klein,1,56.5
60,Jamie Collins,1,56.5
98,Dont'a Hightower,1,56.5
94,Markus Golden,1,56.5
151,Steven Nelson,1,56.5
68,James Burgess,1,56.5
70,Chidobe Awuzie,1,56.5
101,Ronnie Harrison,1,56.5
159,Anthony Harris,1,56.5
77,Xavier Woods,1,56.5
81,Haason Reddick,1,56.5
156,Donald Payne,1,56.5
160,Carlton Davis,1,56.5
155,Kenny Moore,1,56.5
103,Danielle Hunter,1,56.5
58,David Mayo,1,56.5
75,Justin Reid,1,56.5
74,Nathan Gerry,1,56.5
153,Nigel Bradham,1,56.5
86,Jamal Adams,1,56.5
104,Brad McDougald,1,56.5
71,Anthony Barr,1,56.5
102,Kareem Jackson,1,56.5
57,Cameron Heyward,1,56.5
0,Bobby Wagner,1,56.5
109,Jordan Whitehead,1,56.5
197,Justin Coleman,1,56.5
