,NAME,INT,INT_rank
69,Damontae Kazee,7,1.5
179,Kyle Fuller,7,1.5
48,Alec Ogletree,5,3.5
23,Shawn Williams,5,3.5
99,Donte Jackson,4,8.0
63,Damarious Randall,4,8.0
53,Kevin Byard,4,8.0
91,Curtis Riley,4,8.0
37,Jordan Poyer,4,8.0
17,John Johnson,4,8.0
117,Steven Nelson,4,8.0
60,TJ McDonald,3,25.0
41,Justin Simmons,3,25.0
85,Kenny Moore,3,25.0
98,Darron Lee,3,25.0
172,Jonathan Jones,3,25.0
83,Matt Milano,3,25.0
10,Kiko Alonso,3,25.0
107,Reshad Jones,3,25.0
49,Ha'Sean Clinton-Dix,3,25.0
114,Malcolm Butler,3,25.0
62,Harrison Smith,3,25.0
124,Prince Amukamara,3,25.0
28,Derwin James,3,25.0
92,Mike Adams,3,25.0
129,Josh Norman,3,25.0
126,Jalen Ramsey,3,25.0
80,Quandre Diggs,3,25.0
197,Denzel Ward,3,25.0
156,Marcus Gilchrist,3,25.0
155,Rasul Douglas,3,25.0
56,Justin Reid,3,25.0
81,Brad McDougald,3,25.0
9,Cory Littleton,3,25.0
134,Desmond King,3,25.0
22,Jessie Bates III,3,25.0
76,Tre Boston,3,25.0
90,Brian Poole,3,25.0
182,Xavier Woods,2,54.5
70,Minkah Fitzpatrick,2,54.5
189,Patrick Peterson,2,54.5
84,Ron Parker,2,54.5
67,Kendall Fuller,2,54.5
190,Tre'Davious White,2,54.5
164,Michael Thomas,2,54.5
93,Eli Apple,2,54.5
198,Deion Jones,2,54.5
101,Adrian Amos,2,54.5
103,Lorenzo Alexander,2,54.5
109,Janoris Jenkins,2,54.5
131,Joe Haden,2,54.5
132,Shaquill Griffin,2,54.5
168,Morris Claiborne,2,54.5
136,BJ Goodson,2,54.5
143,Darian Stewart,2,54.5
147,Marshon Lattimore,2,54.5
152,Marcus Williams,2,54.5
160,Micah Hyde,2,54.5
162,Johnathan Joseph,2,54.5
175,Corey Graham,2,54.5
102,Adoree` Jackson,2,54.5
0,Darius Leonard,2,54.5
15,Tremaine Edmunds,2,54.5
58,Kareem Jackson,2,54.5
35,Danny Trevathan,2,54.5
2,Leighton Vander Esch,2,54.5
54,Tyrann Mathieu,2,54.5
5,Telvin Smith,2,54.5
25,Eric Kendricks,2,54.5
6,Mason Foster,2,54.5
142,Adarius Taylor,1,99.5
140,Alex Anzalone,1,99.5
138,Jordan Evans,1,99.5
137,Bobby McCain,1,99.5
20,Todd Davis,1,99.5
61,Jeff Heath,1,99.5
125,Jaire Alexander,1,99.5
27,Zach Cunningham,1,99.5
19,Jamal Adams,1,99.5
30,Benardrick McKinney,1,99.5
31,CJ Mosley,1,99.5
112,AJ Klein,1,99.5
111,James Bradberry,1,99.5
110,Jason McCourty,1,99.5
26,Myles Jack,1,99.5
145,Patrick Onwuasor,1,99.5
59,Reggie Ragland,1,99.5
154,Justin Evans,1,99.5
196,PJ Williams,1,99.5
193,AJ Bouye,1,99.5
191,Bene' Benwikere,1,99.5
3,Bobby Wagner,1,99.5
188,Tashaun Gipson,1,99.5
181,Eric Murray,1,99.5
178,Justin Coleman,1,99.5
174,Rashaan Melvin,1,99.5
7,Luke Kuechly,1,99.5
170,Tedric Thompson,1,99.5
8,Tahir Whitehead,1,99.5
167,Mike Hilton,1,99.5
163,Kenny Vaccaro,1,99.5
12,Roquan Smith,1,99.5
13,Avery Williamson,1,99.5
159,Fabian Moreau,1,99.5
32,Anthony Walker,1,99.5
149,BW Webb,1,99.5
108,Eric Reid,1,99.5
130,Demarcus Lawrence,1,99.5
106,Chidobe Awuzie,1,99.5
42,Jayon Brown,1,99.5
89,Jahleel Addae,1,99.5
87,Vince Williams,1,99.5
33,Jamie Collins,1,99.5
46,Adrian Phillips,1,99.5
82,Lamarcus Joyner,1,99.5
96,Travis Carrie,1,99.5
50,Kyle Van Noy,1,99.5
75,Pierre Desir,1,99.5
74,Jabrill Peppers,1,99.5
73,Sean Davis,1,99.5
72,Jerome Baker,1,99.5
66,Devin McCourty,1,99.5
64,Patrick Chung,1,99.5
79,Terrell Edmunds,1,99.5
97,Tony Jefferson,1,99.5
199,Preston Smith,1,99.5
39,Malcolm Jenkins,1,99.5
34,Joe Schobert,1,99.5
36,Budda Baker,0,164.5
177,Gerald Hodges,0,164.5
176,Dee Ford,0,164.5
113,Christian Jones,0,164.5
100,Jon Bostic,0,164.5
173,Da'ron Payne,0,164.5
52,Jordan Hicks,0,164.5
171,Briean Boddy-Calhoun,0,164.5
169,Trey Flowers,0,164.5
78,Thomas Davis,0,164.5
115,Marquel Lee,0,164.5
166,Linval Joseph,0,164.5
165,Hardy Nickerson Jr,0,164.5
11,Fred Warner,0,164.5
77,Shaq Thompson,0,164.5
51,Foyesade Oluokun,0,164.5
29,Raekwon McMillan,0,164.5
4,Anthony Hitchens,0,164.5
1,Blake Martinez,0,164.5
105,Danielle Hunter,0,164.5
195,Nevin Lawson,0,164.5
194,Rashaan Evans,0,164.5
65,Nick Vigil,0,164.5
192,Ben Gedeon,0,164.5
104,Calais Campbell,0,164.5
57,Vonn Bell,0,164.5
68,Damon Harrison,0,164.5
55,Clayton Geathers,0,164.5
187,Michael Brockers,0,164.5
186,Tramon Williams,0,164.5
185,Kenny Clark,0,164.5
184,Josh Jones,0,164.5
183,Anthony Barr,0,164.5
71,Haason Reddick,0,164.5
180,Akiem Hicks,0,164.5
116,TJ Watt,0,164.5
38,Jarrad Davis,0,164.5
44,Nigel Bradham,0,164.5
139,Duke Riley,0,164.5
43,Jatavis Brown,0,164.5
122,Tre Flowers,0,164.5
40,Zach Brown,0,164.5
135,JJ Watt,0,164.5
141,Jonathan Allen,0,164.5
21,Wesley Woodyard,0,164.5
24,Demario Davis,0,164.5
94,Josh Bynes,0,164.5
95,Glover Quin,0,164.5
123,Desmond Trufant,0,164.5
128,Elijah Lee,0,164.5
127,Elandon Roberts,0,164.5
133,Jurrell Casey,0,164.5
121,Deforest Buckner,0,164.5
88,Logan Ryan,0,164.5
144,Mark Barron,0,164.5
47,De'Vondre Campbell,0,164.5
158,Jason Pierre-Paul,0,164.5
157,Josey Jewell,0,164.5
14,Jaylon Smith,0,164.5
118,Eric Weddle,0,164.5
45,Landon Collins,0,164.5
119,Darqueze Dennard,0,164.5
16,Antoine Bethea,0,164.5
151,Aaron Donald,0,164.5
150,Lawrence Guy,0,164.5
86,Jordan Whitehead,0,164.5
148,Dalvin Tomlinson,0,164.5
18,Lavonte David,0,164.5
146,Bradley Chubb,0,164.5
120,Byron Jones,0,164.5
161,Buster Skrine,0,164.5
153,Ndamukong Suh,0,164.5
