,NAME,QBH,QBH_rank
165,Shaquil Barrett,37,1.5
186,Za'Darius Smith,37,1.5
189,TJ Watt,35,3.0
195,Matt Judon,31,4.0
115,Joey Bosa,30,5.0
94,Markus Golden,27,6.0
177,Calais Campbell,24,7.0
181,Preston Smith,23,8.0
103,Danielle Hunter,22,9.5
57,Cameron Heyward,22,9.5
133,Carlos Dunlap,20,11.0
198,Arik Armstead,18,12.0
167,Devon Kennard,17,13.5
107,Grady Jarrett,17,13.5
112,Bud Dupree,16,16.0
130,Matt Ioannidis,16,16.0
170,Dante Fowler Jr,16,16.0
110,Harold Landry,15,18.0
138,Deforest Buckner,14,19.5
82,Sam Hubbard,14,19.5
98,Dont'a Hightower,12,22.0
178,Kyle Van Noy,12,22.0
86,Jamal Adams,12,22.0
163,Vince Biegel,11,24.5
60,Jamie Collins,11,24.5
113,Jonathan Allen,10,27.0
188,Lorenzo Alexander,10,27.0
24,Demario Davis,10,27.0
66,Malcolm Jenkins,9,29.5
192,Vince Williams,9,29.5
23,Rashaan Evans,8,32.5
21,Logan Ryan,8,32.5
146,Kenny Clark,8,32.5
87,Neville Hewitt,8,32.5
71,Anthony Barr,7,37.0
2,Jordan Hicks,7,37.0
15,Lavonte David,7,37.0
39,Matt Milano,7,37.0
137,Sheldon Richardson,7,37.0
55,Kenny Vaccaro,6,43.0
145,Danny Shelton,6,43.0
157,Javon Hargrave,6,43.0
127,Patrick Onwuasor,6,43.0
37,Jon Bostic,6,43.0
131,Michael Brockers,6,43.0
16,Darius Leonard,6,43.0
123,Mike Hilton,5,52.5
4,Luke Kuechly,5,52.5
74,Nathan Gerry,5,52.5
136,Jarrad Davis,5,52.5
139,Eric Wilson,5,52.5
108,AJ Klein,5,52.5
13,Jerome Baker,5,52.5
48,Devin White,5,52.5
91,Davon Godchaux,5,52.5
17,Fred Warner,5,52.5
147,Lawrence Guy,5,52.5
11,Eric Reid,5,52.5
162,Brian Poole,4,68.5
105,Danny Trevathan,4,68.5
93,Nicholas Morrow,4,68.5
155,Kenny Moore,4,68.5
81,Haason Reddick,4,68.5
64,Damien Wilson,4,68.5
62,Mark Barron,4,68.5
187,Christian Wilkins,4,68.5
45,Alexander Johnson,4,68.5
30,Shaq Thompson,4,68.5
49,Vonn Bell,4,68.5
50,Anthony Hitchens,4,68.5
26,Deion Jones,4,68.5
40,Benardrick McKinney,4,68.5
19,Tremaine Edmunds,4,68.5
25,Nick Vigil,4,68.5
14,Anthony Walker,4,68.5
9,Joe Schobert,4,68.5
8,Cory Littleton,4,68.5
185,Da'ron Payne,4,68.5
20,Shawn Williams,3,86.0
154,Damarious Randall,3,86.0
6,Jaylon Smith,3,86.0
100,Mychal Kendricks,3,86.0
5,Zach Cunningham,3,86.0
3,Budda Baker,3,86.0
36,Jayon Brown,3,86.0
1,Blake Martinez,3,86.0
92,Chuck Clark,3,86.0
18,Landon Collins,3,86.0
0,Bobby Wagner,3,86.0
58,David Mayo,3,86.0
67,Alec Ogletree,3,86.0
171,Jahlani Tavai,3,86.0
78,Nick Kwiatkoski,3,86.0
42,Roquan Smith,2,105.5
61,Mack Wilson,2,105.5
134,Jeff Heath,2,105.5
176,Daniel Sorensen,2,105.5
69,Jarrod Wilson,2,105.5
118,Myles Jack,2,105.5
12,De'Vondre Campbell,2,105.5
54,Adrian Amos,2,105.5
22,Thomas Davis,2,105.5
53,Harrison Smith,2,105.5
28,Eric Kendricks,2,105.5
182,Tyeler Davison,2,105.5
29,Devin Bush,2,105.5
44,Tavon Wilson,2,105.5
84,Tyrann Mathieu,2,105.5
83,Jabrill Peppers,2,105.5
35,Terrell Edmunds,2,105.5
63,Tre Flowers,2,105.5
104,Brad McDougald,2,105.5
97,Leighton Vander Esch,2,105.5
96,Raekwon McMillan,2,105.5
34,Cole Holcomb,2,105.5
47,Dre Greenlaw,2,105.5
101,Ronnie Harrison,2,105.5
180,Jalen Thompson,1,134.5
184,Ben Niemann,1,134.5
174,Eli Apple,1,134.5
197,Justin Coleman,1,134.5
158,Eddie Jackson,1,134.5
135,Darryl Roberts,1,134.5
193,Darnell Savage,1,134.5
159,Anthony Harris,1,134.5
153,Nigel Bradham,1,134.5
156,Donald Payne,1,134.5
173,Tre'Davious White,1,134.5
140,Isaiah Oliver,1,134.5
99,Khari Willis,1,134.5
75,Justin Reid,1,134.5
95,Micah Hyde,1,134.5
106,Minkah Fitzpatrick,1,134.5
68,James Burgess,1,134.5
33,Jordan Poyer,1,134.5
109,Jordan Whitehead,1,134.5
111,Tre Boston,1,134.5
32,Tahir Whitehead,1,134.5
129,Jimmie Ward,1,134.5
51,Sean Lee,1,134.5
31,Eric Weddle,1,134.5
70,Chidobe Awuzie,1,134.5
76,Rodney McLeod,1,134.5
117,Kevin King,1,134.5
10,KJ Wright,1,134.5
120,Marcus Maye,1,134.5
121,Joe Walker,1,134.5
122,Marlon Humphrey,1,134.5
124,Bobby Okereke,1,134.5
125,James Bradberry,1,134.5
7,Todd Davis,1,134.5
175,Trae Waynes,0,176.0
65,Eric Rowe,0,176.0
59,Kyle Fuller,0,176.0
172,Daryl Worley,0,176.0
179,Marshon Lattimore,0,176.0
72,Byron Murphy,0,176.0
56,Kevin Byard,0,176.0
128,Shaquill Griffin,0,176.0
183,Chris Harris,0,176.0
46,Justin Simmons,0,176.0
43,Jessie Bates III,0,176.0
73,Ha'Sean Clinton-Dix,0,176.0
38,Tracy Walker,0,176.0
190,Tre Herndon,0,176.0
191,Marcus Williams,0,176.0
27,Antoine Bethea,0,176.0
194,Preston Brown,0,176.0
196,Rayshawn Jenkins,0,176.0
52,Ricardo Allen,0,176.0
41,Taylor Rapp,0,176.0
164,Jaire Alexander,0,176.0
168,Devin McCourty,0,176.0
126,AJ Bouye,0,176.0
132,Xavier Rhodes,0,176.0
119,Joe Haden,0,176.0
116,Rashaan Melvin,0,176.0
141,Rock Ya-Sin,0,176.0
142,Ross Cockrell,0,176.0
143,Montae Nicholson,0,176.0
144,Foyesade Oluokun,0,176.0
114,Denzel Perryman,0,176.0
148,Deandre Baker,0,176.0
149,Richard Sherman,0,176.0
150,Vernon Hargreaves,0,176.0
