,NAME,FF,FF_rank
182,Tyeler Davison,0,153.5
163,Vince Biegel,0,153.5
159,Anthony Harris,0,153.5
156,Donald Payne,0,153.5
155,Kenny Moore,0,153.5
154,Damarious Randall,0,153.5
153,Nigel Bradham,0,153.5
152,Janoris Jenkins,0,153.5
184,Ben Niemann,0,153.5
166,Juan Thornhill,0,153.5
150,Vernon Hargreaves,0,153.5
149,Richard Sherman,0,153.5
148,Deandre Baker,0,153.5
147,Lawrence Guy,0,153.5
172,Daryl Worley,0,153.5
179,Marshon Lattimore,0,153.5
180,Jalen Thompson,0,153.5
151,Steven Nelson,0,153.5
176,Daniel Sorensen,0,153.5
99,Khari Willis,0,153.5
134,Jeff Heath,0,153.5
56,Kevin Byard,0,153.5
55,Kenny Vaccaro,0,153.5
54,Adrian Amos,0,153.5
52,Ricardo Allen,0,153.5
51,Sean Lee,0,153.5
47,Dre Greenlaw,0,153.5
46,Justin Simmons,0,153.5
44,Tavon Wilson,0,153.5
43,Jessie Bates III,0,153.5
42,Roquan Smith,0,153.5
41,Taylor Rapp,0,153.5
37,Jon Bostic,0,153.5
36,Jayon Brown,0,153.5
58,David Mayo,0,153.5
35,Terrell Edmunds,0,153.5
31,Eric Weddle,0,153.5
30,Shaq Thompson,0,153.5
27,Antoine Bethea,0,153.5
26,Deion Jones,0,153.5
24,Demario Davis,0,153.5
23,Rashaan Evans,0,153.5
22,Thomas Davis,0,153.5
20,Shawn Williams,0,153.5
19,Tremaine Edmunds,0,153.5
10,KJ Wright,0,153.5
7,Todd Davis,0,153.5
5,Zach Cunningham,0,153.5
4,Luke Kuechly,0,153.5
32,Tahir Whitehead,0,153.5
59,Kyle Fuller,0,153.5
61,Mack Wilson,0,153.5
62,Mark Barron,0,153.5
131,Michael Brockers,0,153.5
130,Matt Ioannidis,0,153.5
126,AJ Bouye,0,153.5
125,James Bradberry,0,153.5
121,Joe Walker,0,153.5
120,Marcus Maye,0,153.5
118,Myles Jack,0,153.5
116,Rashaan Melvin,0,153.5
111,Tre Boston,0,153.5
109,Jordan Whitehead,0,153.5
101,Ronnie Harrison,0,153.5
98,Dont'a Hightower,0,153.5
96,Raekwon McMillan,0,153.5
94,Markus Golden,0,153.5
93,Nicholas Morrow,0,153.5
91,Davon Godchaux,0,153.5
88,Erik Harris,0,153.5
87,Neville Hewitt,0,153.5
85,Drue Tranquill,0,153.5
84,Tyrann Mathieu,0,153.5
81,Haason Reddick,0,153.5
80,Germaine Pratt,0,153.5
79,Levi Wallace,0,153.5
75,Justin Reid,0,153.5
74,Nathan Gerry,0,153.5
73,Ha'Sean Clinton-Dix,0,153.5
72,Byron Murphy,0,153.5
70,Chidobe Awuzie,0,153.5
67,Alec Ogletree,0,153.5
135,Darryl Roberts,0,153.5
199,Clayton Geathers,0,153.5
