,NAME,FF,FF_rank
189,TJ Watt,8,1.0
165,Shaquil Barrett,6,2.0
112,Bud Dupree,4,3.0
178,Kyle Van Noy,3,10.5
21,Logan Ryan,3,10.5
48,Devin White,3,10.5
103,Danielle Hunter,3,10.5
15,Lavonte David,3,10.5
12,De'Vondre Campbell,3,10.5
60,Jamie Collins,3,10.5
53,Harrison Smith,3,10.5
197,Justin Coleman,3,10.5
83,Jabrill Peppers,3,10.5
66,Malcolm Jenkins,3,10.5
137,Sheldon Richardson,3,10.5
33,Jordan Poyer,3,10.5
195,Matt Judon,3,10.5
34,Cole Holcomb,2,33.5
92,Chuck Clark,2,33.5
77,Xavier Woods,2,33.5
107,Grady Jarrett,2,33.5
106,Minkah Fitzpatrick,2,33.5
133,Carlos Dunlap,2,33.5
177,Calais Campbell,2,33.5
198,Arik Armstead,2,33.5
175,Trae Waynes,2,33.5
95,Micah Hyde,2,33.5
170,Dante Fowler Jr,2,33.5
49,Vonn Bell,2,33.5
86,Jamal Adams,2,33.5
173,Tre'Davious White,2,33.5
45,Alexander Johnson,2,33.5
168,Devin McCourty,2,33.5
76,Rodney McLeod,2,33.5
124,Bobby Okereke,2,33.5
138,Deforest Buckner,2,33.5
16,Darius Leonard,2,33.5
17,Fred Warner,2,33.5
18,Landon Collins,2,33.5
9,Joe Schobert,2,33.5
193,Darnell Savage,2,33.5
8,Cory Littleton,2,33.5
6,Jaylon Smith,2,33.5
13,Jerome Baker,2,33.5
3,Budda Baker,2,33.5
28,Eric Kendricks,2,33.5
2,Jordan Hicks,2,33.5
132,Xavier Rhodes,2,33.5
122,Marlon Humphrey,2,33.5
97,Leighton Vander Esch,1,78.0
89,Charvarius Ward,1,78.0
90,Damontae Kazee,1,78.0
82,Sam Hubbard,1,78.0
157,Javon Hargrave,1,78.0
158,Eddie Jackson,1,78.0
78,Nick Kwiatkoski,1,78.0
129,Jimmie Ward,1,78.0
115,Joey Bosa,1,78.0
102,Kareem Jackson,1,78.0
100,Mychal Kendricks,1,78.0
114,Denzel Perryman,1,78.0
104,Brad McDougald,1,78.0
127,Patrick Onwuasor,1,78.0
140,Isaiah Oliver,1,78.0
105,Danny Trevathan,1,78.0
123,Mike Hilton,1,78.0
119,Joe Haden,1,78.0
108,AJ Klein,1,78.0
146,Kenny Clark,1,78.0
110,Harold Landry,1,78.0
117,Kevin King,1,78.0
144,Foyesade Oluokun,1,78.0
113,Jonathan Allen,1,78.0
128,Shaquill Griffin,1,78.0
145,Danny Shelton,1,78.0
0,Bobby Wagner,1,78.0
136,Jarrad Davis,1,78.0
186,Za'Darius Smith,1,78.0
181,Preston Smith,1,78.0
38,Tracy Walker,1,78.0
39,Matt Milano,1,78.0
40,Benardrick McKinney,1,78.0
29,Devin Bush,1,78.0
160,Carlton Davis,1,78.0
50,Anthony Hitchens,1,78.0
174,Eli Apple,1,78.0
171,Jahlani Tavai,1,78.0
57,Cameron Heyward,1,78.0
169,Troy Reeder,1,78.0
188,Lorenzo Alexander,1,78.0
183,Chris Harris,1,78.0
25,Nick Vigil,1,78.0
167,Devon Kennard,1,78.0
11,Eric Reid,1,78.0
162,Brian Poole,1,78.0
63,Tre Flowers,1,78.0
64,Damien Wilson,1,78.0
1,Blake Martinez,1,78.0
14,Anthony Walker,1,78.0
65,Eric Rowe,1,78.0
71,Anthony Barr,1,78.0
164,Jaire Alexander,1,78.0
191,Marcus Williams,1,78.0
194,Preston Brown,1,78.0
68,James Burgess,1,78.0
69,Jarrod Wilson,1,78.0
196,Rayshawn Jenkins,0,153.5
190,Tre Herndon,0,153.5
187,Christian Wilkins,0,153.5
142,Ross Cockrell,0,153.5
141,Rock Ya-Sin,0,153.5
192,Vince Williams,0,153.5
139,Eric Wilson,0,153.5
143,Montae Nicholson,0,153.5
185,Da'ron Payne,0,153.5
161,Jomal Wiltz,0,153.5
