,NAME,INT TD,INT TD_rank
48,Alec Ogletree,2,1.0
134,Desmond King,1,14.5
84,Ron Parker,1,14.5
42,Jayon Brown,1,14.5
162,Johnathan Joseph,1,14.5
27,Zach Cunningham,1,14.5
26,Myles Jack,1,14.5
91,Curtis Riley,1,14.5
23,Shawn Williams,1,14.5
22,Jessie Bates III,1,14.5
124,Prince Amukamara,1,14.5
20,Todd Davis,1,14.5
80,Quandre Diggs,1,14.5
72,Jerome Baker,1,14.5
70,Minkah Fitzpatrick,1,14.5
87,Vince Williams,1,14.5
98,Darron Lee,1,14.5
107,Reshad Jones,1,14.5
196,PJ Williams,1,14.5
3,Bobby Wagner,1,14.5
114,Malcolm Butler,1,14.5
56,Justin Reid,1,14.5
5,Telvin Smith,1,14.5
66,Devin McCourty,1,14.5
198,Deion Jones,1,14.5
9,Cory Littleton,1,14.5
168,Morris Claiborne,1,14.5
143,Darian Stewart,0,114.0
139,Duke Riley,0,114.0
144,Mark Barron,0,114.0
141,Jonathan Allen,0,114.0
138,Jordan Evans,0,114.0
145,Patrick Onwuasor,0,114.0
137,Bobby McCain,0,114.0
136,BJ Goodson,0,114.0
142,Adarius Taylor,0,114.0
135,JJ Watt,0,114.0
140,Alex Anzalone,0,114.0
133,Jurrell Casey,0,114.0
0,Darius Leonard,0,114.0
131,Joe Haden,0,114.0
112,AJ Klein,0,114.0
113,Christian Jones,0,114.0
115,Marquel Lee,0,114.0
116,TJ Watt,0,114.0
117,Steven Nelson,0,114.0
118,Eric Weddle,0,114.0
119,Darqueze Dennard,0,114.0
120,Byron Jones,0,114.0
132,Shaquill Griffin,0,114.0
121,Deforest Buckner,0,114.0
123,Desmond Trufant,0,114.0
125,Jaire Alexander,0,114.0
126,Jalen Ramsey,0,114.0
127,Elandon Roberts,0,114.0
146,Bradley Chubb,0,114.0
128,Elijah Lee,0,114.0
129,Josh Norman,0,114.0
130,Demarcus Lawrence,0,114.0
122,Tre Flowers,0,114.0
147,Marshon Lattimore,0,114.0
154,Justin Evans,0,114.0
149,BW Webb,0,114.0
177,Gerald Hodges,0,114.0
178,Justin Coleman,0,114.0
179,Kyle Fuller,0,114.0
180,Akiem Hicks,0,114.0
181,Eric Murray,0,114.0
182,Xavier Woods,0,114.0
183,Anthony Barr,0,114.0
184,Josh Jones,0,114.0
185,Kenny Clark,0,114.0
176,Dee Ford,0,114.0
186,Tramon Williams,0,114.0
188,Tashaun Gipson,0,114.0
189,Patrick Peterson,0,114.0
190,Tre'Davious White,0,114.0
191,Bene' Benwikere,0,114.0
192,Ben Gedeon,0,114.0
193,AJ Bouye,0,114.0
194,Rashaan Evans,0,114.0
195,Nevin Lawson,0,114.0
197,Denzel Ward,0,114.0
187,Michael Brockers,0,114.0
175,Corey Graham,0,114.0
174,Rashaan Melvin,0,114.0
173,Da'ron Payne,0,114.0
150,Lawrence Guy,0,114.0
