,NAME,INT TD,INT TD_rank
151,Aaron Donald,0,114.0
152,Marcus Williams,0,114.0
153,Ndamukong Suh,0,114.0
111,James Bradberry,0,114.0
155,Rasul Douglas,0,114.0
156,Marcus Gilchrist,0,114.0
157,Josey Jewell,0,114.0
158,Jason Pierre-Paul,0,114.0
159,Fabian Moreau,0,114.0
160,Micah Hyde,0,114.0
161,Buster Skrine,0,114.0
163,Kenny Vaccaro,0,114.0
164,Michael Thomas,0,114.0
165,Hardy Nickerson Jr,0,114.0
166,Linval Joseph,0,114.0
167,Mike Hilton,0,114.0
169,Trey Flowers,0,114.0
170,Tedric Thompson,0,114.0
171,Briean Boddy-Calhoun,0,114.0
172,Jonathan Jones,0,114.0
148,Dalvin Tomlinson,0,114.0
110,Jason McCourty,0,114.0
99,Donte Jackson,0,114.0
108,Eric Reid,0,114.0
32,Anthony Walker,0,114.0
33,Jamie Collins,0,114.0
34,Joe Schobert,0,114.0
35,Danny Trevathan,0,114.0
36,Budda Baker,0,114.0
37,Jordan Poyer,0,114.0
38,Jarrad Davis,0,114.0
39,Malcolm Jenkins,0,114.0
31,CJ Mosley,0,114.0
40,Zach Brown,0,114.0
43,Jatavis Brown,0,114.0
44,Nigel Bradham,0,114.0
45,Landon Collins,0,114.0
46,Adrian Phillips,0,114.0
47,De'Vondre Campbell,0,114.0
49,Ha'Sean Clinton-Dix,0,114.0
50,Kyle Van Noy,0,114.0
51,Foyesade Oluokun,0,114.0
41,Justin Simmons,0,114.0
30,Benardrick McKinney,0,114.0
29,Raekwon McMillan,0,114.0
28,Derwin James,0,114.0
1,Blake Martinez,0,114.0
2,Leighton Vander Esch,0,114.0
4,Anthony Hitchens,0,114.0
6,Mason Foster,0,114.0
7,Luke Kuechly,0,114.0
8,Tahir Whitehead,0,114.0
10,Kiko Alonso,0,114.0
11,Fred Warner,0,114.0
12,Roquan Smith,0,114.0
13,Avery Williamson,0,114.0
14,Jaylon Smith,0,114.0
15,Tremaine Edmunds,0,114.0
16,Antoine Bethea,0,114.0
17,John Johnson,0,114.0
18,Lavonte David,0,114.0
19,Jamal Adams,0,114.0
21,Wesley Woodyard,0,114.0
24,Demario Davis,0,114.0
25,Eric Kendricks,0,114.0
52,Jordan Hicks,0,114.0
109,Janoris Jenkins,0,114.0
53,Kevin Byard,0,114.0
55,Clayton Geathers,0,114.0
85,Kenny Moore,0,114.0
86,Jordan Whitehead,0,114.0
88,Logan Ryan,0,114.0
89,Jahleel Addae,0,114.0
90,Brian Poole,0,114.0
92,Mike Adams,0,114.0
93,Eli Apple,0,114.0
94,Josh Bynes,0,114.0
83,Matt Milano,0,114.0
95,Glover Quin,0,114.0
97,Tony Jefferson,0,114.0
100,Jon Bostic,0,114.0
101,Adrian Amos,0,114.0
102,Adoree` Jackson,0,114.0
103,Lorenzo Alexander,0,114.0
104,Calais Campbell,0,114.0
105,Danielle Hunter,0,114.0
106,Chidobe Awuzie,0,114.0
96,Travis Carrie,0,114.0
82,Lamarcus Joyner,0,114.0
81,Brad McDougald,0,114.0
79,Terrell Edmunds,0,114.0
57,Vonn Bell,0,114.0
58,Kareem Jackson,0,114.0
59,Reggie Ragland,0,114.0
60,TJ McDonald,0,114.0
61,Jeff Heath,0,114.0
62,Harrison Smith,0,114.0
63,Damarious Randall,0,114.0
64,Patrick Chung,0,114.0
65,Nick Vigil,0,114.0
67,Kendall Fuller,0,114.0
68,Damon Harrison,0,114.0
69,Damontae Kazee,0,114.0
71,Haason Reddick,0,114.0
73,Sean Davis,0,114.0
74,Jabrill Peppers,0,114.0
75,Pierre Desir,0,114.0
76,Tre Boston,0,114.0
77,Shaq Thompson,0,114.0
78,Thomas Davis,0,114.0
54,Tyrann Mathieu,0,114.0
199,Preston Smith,0,114.0
