,NAME,SOLO,SOLO_rank
181,Eric Murray,43,155.5
195,Nevin Lawson,43,155.5
196,PJ Williams,43,155.5
177,Gerald Hodges,43,155.5
130,Demarcus Lawrence,43,155.5
98,Darron Lee,43,155.5
146,Bradley Chubb,43,155.5
154,Justin Evans,43,155.5
184,Josh Jones,42,161.0
112,AJ Klein,42,161.0
175,Corey Graham,42,161.0
176,Dee Ford,41,167.5
180,Akiem Hicks,41,167.5
142,Adarius Taylor,41,167.5
170,Tedric Thompson,41,167.5
178,Justin Coleman,41,167.5
129,Josh Norman,41,167.5
191,Bene' Benwikere,41,167.5
151,Aaron Donald,41,167.5
160,Micah Hyde,41,167.5
197,Denzel Ward,41,167.5
164,Michael Thomas,40,174.5
163,Kenny Vaccaro,40,174.5
138,Jordan Evans,40,174.5
186,Tramon Williams,40,174.5
183,Anthony Barr,39,177.5
156,Marcus Gilchrist,39,177.5
182,Xavier Woods,38,180.5
139,Duke Riley,38,180.5
157,Josey Jewell,38,180.5
165,Hardy Nickerson Jr,38,180.5
153,Ndamukong Suh,37,183.0
133,Jurrell Casey,36,185.5
145,Patrick Onwuasor,36,185.5
115,Marquel Lee,36,185.5
159,Fabian Moreau,36,185.5
173,Da'ron Payne,35,189.0
185,Kenny Clark,35,189.0
166,Linval Joseph,35,189.0
187,Michael Brockers,34,192.5
141,Jonathan Allen,34,192.5
198,Deion Jones,34,192.5
194,Rashaan Evans,34,192.5
169,Trey Flowers,32,195.0
127,Elandon Roberts,31,196.5
199,Preston Smith,31,196.5
148,Dalvin Tomlinson,30,198.5
192,Ben Gedeon,30,198.5
150,Lawrence Guy,25,200.0
