,NAME,SOLO,SOLO_rank
0,Darius Leonard,111,1.0
2,Leighton Vander Esch,103,2.0
5,Telvin Smith,100,3.5
16,Antoine Bethea,100,3.5
18,Lavonte David,95,5.0
1,Blake Martinez,93,6.5
7,Luke Kuechly,93,6.5
9,Cory Littleton,91,8.0
12,Roquan Smith,89,9.0
8,Tahir Whitehead,87,10.0
6,Mason Foster,85,11.5
19,Jamal Adams,85,11.5
11,Fred Warner,84,13.5
14,Jaylon Smith,84,13.5
4,Anthony Hitchens,82,15.5
3,Bobby Wagner,82,15.5
20,Todd Davis,81,18.0
17,John Johnson,81,18.0
10,Kiko Alonso,81,18.0
15,Tremaine Edmunds,80,21.0
36,Budda Baker,80,21.0
49,Ha'Sean Clinton-Dix,80,21.0
39,Malcolm Jenkins,79,23.5
23,Shawn Williams,79,23.5
35,Danny Trevathan,78,25.5
13,Avery Williamson,78,25.5
28,Derwin James,75,27.5
26,Myles Jack,75,27.5
33,Jamie Collins,74,30.0
37,Jordan Poyer,74,30.0
24,Demario Davis,74,30.0
22,Jessie Bates III,73,33.0
27,Zach Cunningham,73,33.0
38,Jarrad Davis,73,33.0
63,Damarious Randall,71,36.0
29,Raekwon McMillan,71,36.0
31,CJ Mosley,71,36.0
32,Anthony Walker,70,40.0
21,Wesley Woodyard,70,40.0
41,Justin Simmons,70,40.0
54,Tyrann Mathieu,70,40.0
58,Kareem Jackson,70,40.0
56,Justin Reid,69,43.5
40,Zach Brown,69,43.5
45,Landon Collins,68,45.0
44,Nigel Bradham,67,47.0
102,Adoree` Jackson,67,47.0
76,Tre Boston,67,47.0
62,Harrison Smith,66,49.5
81,Brad McDougald,66,49.5
46,Adrian Phillips,65,51.0
42,Jayon Brown,64,53.5
30,Benardrick McKinney,64,53.5
80,Quandre Diggs,64,53.5
67,Kendall Fuller,64,53.5
84,Ron Parker,63,60.0
91,Curtis Riley,63,60.0
85,Kenny Moore,63,60.0
65,Nick Vigil,63,60.0
61,Jeff Heath,63,60.0
99,Donte Jackson,63,60.0
47,De'Vondre Campbell,63,60.0
60,TJ McDonald,63,60.0
25,Eric Kendricks,63,60.0
57,Vonn Bell,62,67.0
126,Jalen Ramsey,62,67.0
53,Kevin Byard,62,67.0
43,Jatavis Brown,62,67.0
93,Eli Apple,62,67.0
86,Jordan Whitehead,61,71.5
55,Clayton Geathers,61,71.5
125,Jaire Alexander,61,71.5
75,Pierre Desir,61,71.5
52,Jordan Hicks,60,75.0
69,Damontae Kazee,60,75.0
114,Malcolm Butler,60,75.0
109,Janoris Jenkins,59,78.0
73,Sean Davis,59,78.0
111,James Bradberry,59,78.0
117,Steven Nelson,58,83.0
96,Travis Carrie,58,83.0
95,Glover Quin,58,83.0
48,Alec Ogletree,58,83.0
82,Lamarcus Joyner,58,83.0
101,Adrian Amos,58,83.0
66,Devin McCourty,58,83.0
107,Reshad Jones,57,89.0
51,Foyesade Oluokun,57,89.0
124,Prince Amukamara,57,89.0
106,Chidobe Awuzie,57,89.0
34,Joe Schobert,57,89.0
120,Byron Jones,56,93.5
128,Elijah Lee,56,93.5
72,Jerome Baker,56,93.5
50,Kyle Van Noy,56,93.5
90,Brian Poole,55,98.5
123,Desmond Trufant,55,98.5
118,Eric Weddle,55,98.5
79,Terrell Edmunds,55,98.5
104,Calais Campbell,55,98.5
103,Lorenzo Alexander,55,98.5
122,Tre Flowers,54,104.0
119,Darqueze Dennard,54,104.0
132,Shaquill Griffin,54,104.0
110,Jason McCourty,54,104.0
88,Logan Ryan,54,104.0
97,Tony Jefferson,53,107.0
94,Josh Bynes,52,109.5
161,Buster Skrine,52,109.5
83,Matt Milano,52,109.5
149,BW Webb,52,109.5
64,Patrick Chung,51,115.5
89,Jahleel Addae,51,115.5
71,Haason Reddick,51,115.5
105,Danielle Hunter,51,115.5
77,Shaq Thompson,51,115.5
174,Rashaan Melvin,51,115.5
74,Jabrill Peppers,51,115.5
116,TJ Watt,51,115.5
113,Christian Jones,50,122.5
137,Bobby McCain,50,122.5
87,Vince Williams,50,122.5
131,Joe Haden,50,122.5
70,Minkah Fitzpatrick,50,122.5
68,Damon Harrison,50,122.5
108,Eric Reid,49,126.5
147,Marshon Lattimore,49,126.5
162,Johnathan Joseph,48,130.0
152,Marcus Williams,48,130.0
59,Reggie Ragland,48,130.0
155,Rasul Douglas,48,130.0
158,Jason Pierre-Paul,48,130.0
92,Mike Adams,47,134.0
134,Desmond King,47,134.0
135,JJ Watt,47,134.0
78,Thomas Davis,46,137.5
100,Jon Bostic,46,137.5
171,Briean Boddy-Calhoun,46,137.5
143,Darian Stewart,46,137.5
140,Alex Anzalone,45,141.5
189,Patrick Peterson,45,141.5
179,Kyle Fuller,45,141.5
193,AJ Bouye,45,141.5
188,Tashaun Gipson,44,147.5
144,Mark Barron,44,147.5
136,BJ Goodson,44,147.5
168,Morris Claiborne,44,147.5
167,Mike Hilton,44,147.5
190,Tre'Davious White,44,147.5
121,Deforest Buckner,44,147.5
172,Jonathan Jones,44,147.5
