,NAME,INT YDS,INT YDS_rank
49,Kevin Byard,130,1.0
51,Darqueze Dennard,109,2.0
185,Dre Kirkpatrick,101,3.0
48,Earl Thomas,97,4.0
6,CJ Mosley,94,5.0
115,Adrian Amos,90,6.5
89,Desmond King,90,6.5
111,Tre'Davious White,86,8.0
137,Eric Weddle,85,9.0
130,Tashaun Gipson,83,10.0
98,Eddie Jackson,82,11.0
37,Sean Davis,76,12.0
154,Darius Slay,73,13.0
76,Andrew Sendejo,70,15.0
25,Kwon Alexander,70,15.0
174,AJ Bouye,70,15.0
104,John Johnson,69,17.0
195,Rodney McLeod,67,18.0
116,Justin Simmons,65,19.0
62,Micah Hyde,64,20.0
54,Glover Quin,62,21.0
129,Jason McCourty,59,22.0
175,Brandon Carr,57,23.0
21,Telvin Smith,56,24.0
133,Jalen Mills,53,25.0
91,Barry Church,51,26.5
170,Antoine Bethea,51,26.5
81,Dontae Johnson,50,28.0
74,Tre Boston,49,29.0
155,Mike Hilton,45,30.0
69,Marcus Maye,44,31.0
79,Harrison Smith,42,33.0
4,Deion Jones,42,33.0
110,Mike Adams,42,33.0
158,Kenny Vaccaro,41,35.5
32,Alec Ogletree,41,35.5
127,Trumaine Johnson,39,37.5
64,Deone Bucannon,39,37.5
199,Jaquiski Tartt,37,39.0
138,Jalen Ramsey,34,40.0
135,Darian Stewart,33,41.5
34,Jordan Poyer,33,41.5
73,DJ Swearinger,32,43.0
15,Eric Kendricks,31,44.0
186,Derrick Kindred,30,45.5
60,Patrick Chung,30,45.5
140,Ray Ray Armstrong,29,47.5
53,Mark Barron,29,47.5
128,Justin Evans,28,50.0
182,Quandre Diggs,28,50.0
188,Trevor Williams,28,50.0
194,K'Waun Williams,27,52.0
193,Jourdan Lewis,25,53.0
187,Tavon Wilson,23,55.0
178,Xavier Rhodes,23,55.0
10,Luke Kuechly,23,55.0
20,Landon Collins,21,58.0
67,Byron Jones,21,58.0
131,Trae Waynes,21,58.0
71,Craig Robertson,20,60.5
122,Jeff Heath,20,60.5
13,Keanu Neal,19,62.0
16,Tahir Whitehead,18,63.0
177,Marcus Gilchrist,17,64.5
192,TJ Watt,17,64.5
179,Anthony Brown,16,66.5
83,Tyrann Mathieu,16,66.5
12,Reshad Jones,15,68.0
72,George Iloka,14,69.0
78,Tony Jefferson,13,71.0
144,Adrian Phillips,13,71.0
42,Vince Williams,13,71.0
99,Marcus Williams,12,74.0
29,Jarrad Davis,12,74.0
56,Vincent Rey,12,74.0
102,Andre Hal,10,76.0
22,Sean Lee,9,78.0
84,Damon Harrison,9,78.0
28,Matthias Farley,9,78.0
2,Joe Schobert,8,80.5
