,NAME,INT YDS,INT YDS_rank
38,Danny Trevathan,8,80.5
7,Bobby Wagner,7,82.0
70,Ha'Sean Clinton-Dix,5,83.0
191,Ricardo Allen,4,85.0
31,Karlos Dansby,4,85.0
183,Kendall Fuller,4,85.0
52,James Bradberry,3,88.5
43,Daniel Sorensen,3,88.5
46,Reggie Nelson,3,88.5
0,Blake Martinez,3,88.5
44,Ryan Shazier,2,91.5
97,Kareem Jackson,2,91.5
17,KJ Wright,1,94.0
100,Hayes Pullard,1,94.0
163,EJ Gaines,1,94.0
26,Devin McCourty,0,147.0
160,Demarcus Lawrence,0,147.0
157,Nicholas Morrow,0,147.0
161,Chandler Jones,0,147.0
162,Justin Houston,0,147.0
159,Jadeveon Clowney,0,147.0
152,Jurrell Casey,0,147.0
27,Jahleel Addae,0,147.0
151,Shaq Thompson,0,147.0
150,Ryan Smith,0,147.0
149,Manti Te'o,0,147.0
148,Deforest Buckner,0,147.0
147,Jamar Taylor,0,147.0
146,Paul Posluszny,0,147.0
145,Trey Flowers,0,147.0
156,Matt Judon,0,147.0
164,Zach Vigil,0,147.0
171,Calvin Munson,0,147.0
166,Lawrence Guy,0,147.0
197,Mike Mitchell,0,147.0
196,Ken Crawley,0,147.0
1,Preston Brown,0,147.0
3,Christian Kirksey,0,147.0
5,Demario Davis,0,147.0
190,Artie Burns,0,147.0
189,Michael Brockers,0,147.0
8,NaVorro Bowman,0,147.0
9,Zach Brown,0,147.0
11,Wesley Woodyard,0,147.0
184,Grady Jarrett,0,147.0
14,Kiko Alonso,0,147.0
181,Cory James,0,147.0
180,Kenny Clark,0,147.0
18,Antonio Morrison,0,147.0
19,Brandon Marshall,0,147.0
176,Melvin Ingram,0,147.0
23,Lavonte David,0,147.0
173,Jonathan Cyprien,0,147.0
172,Jabrill Peppers,0,147.0
143,Logan Ryan,0,147.0
24,Jon Bostic,0,147.0
169,Von Miller,0,147.0
168,Deshazor Everett,0,147.0
167,Shaquill Griffin,0,147.0
165,Bruce Irvin,0,147.0
142,Cameron Jordan,0,147.0
68,Jatavis Brown,0,147.0
30,Benardrick McKinney,0,147.0
105,Joey Bosa,0,147.0
103,Derrick Johnson,0,147.0
101,Reuben Foster,0,147.0
198,AJ Klein,0,147.0
55,Travis Carrie,0,147.0
96,Kyle Van Noy,0,147.0
95,James Burgess,0,147.0
94,Kendell Beckwith,0,147.0
93,Malcolm Jenkins,0,147.0
92,Martrell Spaight,0,147.0
90,Mychal Kendricks,0,147.0
57,Lawrence Timmons,0,147.0
88,Anthony Barr,0,147.0
87,Darian Thompson,0,147.0
86,Kurt Coleman,0,147.0
85,Thomas Davis,0,147.0
58,Anthony Hitchens,0,147.0
82,Chris Conte,0,147.0
59,Vonn Bell,0,147.0
80,Nick Vigil,0,147.0
61,Jamal Adams,0,147.0
63,Todd Davis,0,147.0
77,Khalil Mack,0,147.0
65,Jaylon Smith,0,147.0
66,Jake Ryan,0,147.0
106,Adoree` Jackson,0,147.0
141,Buster Skrine,0,147.0
107,Josh Jones,0,147.0
109,Budda Baker,0,147.0
139,Brian Poole,0,147.0
33,Darron Lee,0,147.0
35,De'Vondre Campbell,0,147.0
134,Josh Norman,0,147.0
36,Avery Williamson,0,147.0
132,Daryl Worley,0,147.0
39,Patrick Onwuasor,0,147.0
40,Myles Jack,0,147.0
41,Christian Jones,0,147.0
126,Ron Parker,0,147.0
108,Lorenzo Alexander,0,147.0
124,Vontaze Burfict,0,147.0
125,Tyvon Branch,0,147.0
121,Robert Alford,0,147.0
120,Kyle Fuller,0,147.0
119,Calais Campbell,0,147.0
118,Linval Joseph,0,147.0
117,Morgan Burnett,0,147.0
45,Zach Cunningham,0,147.0
114,Elandon Roberts,0,147.0
113,Brad McDougald,0,147.0
112,Jason Pierre-Paul,0,147.0
47,Nigel Bradham,0,147.0
50,Ramon Humber,0,147.0
123,Eric Reid,0,147.0
136,Brock Coyle,0,147.0
153,Malcolm Butler,-1,199.5
75,Karl Joseph,-1,199.5
