name,salary
Adrian Amos,"$9,000,000  "
Anthony Hitchens,"$9,000,000  "
Tyrone Crawford,"$9,000,000  "
Justin Pugh,"$8,955,000  "
Dont'a Hightower,"$8,875,000  "
Kyler Murray,"$8,789,661  "
Malcolm Jenkins,"$8,750,000  "
Tavon Young,"$8,600,000  "
Joel Bitonio,"$8,527,463  "
Zach Ertz,"$8,500,000  "
Marqise Lee,"$8,500,000  "
Larry Warford,"$8,500,000  "
Jordan Hicks,"$8,500,000  "
Steven Nelson,"$8,500,000  "
Corey Linsley,"$8,500,000  "
Delanie Walker,"$8,500,000  "
Laurent Duvernay-Tardif,"$8,472,600  "
Henry Anderson,"$8,400,000  "
Nick Bosa,"$8,387,966  "
Kenny Moore,"$8,325,000  "
Devonta Freeman,"$8,250,000  "
Baker Mayfield,"$8,170,745  "
Jason Kelce,"$8,166,667  "
Mitchell Schwartz,"$8,151,667  "
Quinnen Williams,"$8,132,343  "
Rob Havenstein,"$8,125,000  "
Kenny Stills,"$8,000,000  "
Trey Burton,"$8,000,000  "
Marvin Jones,"$8,000,000  "
Demario Davis,"$8,000,000  "
Albert Wilson,"$8,000,000  "
Clelin Ferrell,"$7,840,204  "
Saquon Barkley,"$7,798,688  "
Julian Edelman,"$7,750,000  "
Morgan Moses,"$7,700,000  "
Bobby Massie,"$7,700,000  "
Cameron Wake,"$7,666,667  "
DeVante Parker,"$7,625,000  "
Myles Garrett,"$7,603,064  "
Sam Darnold,"$7,561,929  "
Tashaun Gipson,"$7,500,000  "
Jerick McKinnon,"$7,500,000  "
Avery Williamson,"$7,500,000  "
Pierre Desir,"$7,500,000  "
Trent Murphy,"$7,500,000  "
Jared Cook,"$7,500,000  "
Robert Alford,"$7,500,000  "
Darren Waller,"$7,450,000  "
Eric Reid,"$7,350,000  "
Devin White,"$7,328,954  "
Chris Hubbard,"$7,300,000  "
Denzel Ward,"$7,291,339  "
Mitchell Trubisky,"$7,258,106  "
Matthew Ioannidis,"$7,250,000  "
Brian Winters,"$7,250,000  "
Cole Beasley,"$7,250,000  "
Tyler Higbee,"$7,250,000  "
Teddy Bridgewater,"$7,250,000  "
Kiko Alonso,"$7,227,500  "
Jack Doyle,"$7,100,000  "
Solomon Thomas,"$7,038,592  "
Zach Fulton,"$7,000,000  "
Bryce Callahan,"$7,000,000  "
K.J. Wright,"$7,000,000  "
Jonathan Jones,"$7,000,000  "
Greg Olsen,"$7,000,000  "
DaQuan Jones,"$7,000,000  "
Billy Turner,"$7,000,000  "
Bradley Chubb,"$6,817,810  "
Trey Hopkins,"$6,800,000  "
Cameron Brate,"$6,800,000  "
Robert Woods,"$6,800,000  "
Leonard Fournette,"$6,787,711  "
Dean Lowry,"$6,775,000  "
Ben Jones,"$6,750,000  "
Bobby McCain,"$6,750,000  "
Vance McDonald,"$6,550,000  "
Ricardo Allen,"$6,500,000  "
Jaquiski Tartt,"$6,500,000  "
Mohamed Sanu,"$6,500,000  "
Marcus Cannon,"$6,482,000  "
Joey Bosa,"$6,468,421  "
Marquise Goodwin,"$6,416,667  "
Daniel Jones,"$6,416,014  "
Richie Incognito,"$6,350,000  "
Corey Davis,"$6,348,672  "
Tahir Whitehead,"$6,333,333  "
D.J. Hayden,"$6,333,333  "
Jamon Brown,"$6,250,000  "
