,NAME,TFL,TFL_rank
151,Aaron Donald,30.0,1.0
135,JJ Watt,24.0,2.5
7,Luke Kuechly,24.0,2.5
104,Calais Campbell,23.0,4.0
130,Demarcus Lawrence,21.0,5.0
105,Danielle Hunter,20.0,6.0
121,Deforest Buckner,18.0,7.0
176,Dee Ford,17.5,8.0
116,TJ Watt,17.0,9.0
146,Bradley Chubb,16.5,11.0
158,Jason Pierre-Paul,16.5,11.0
0,Darius Leonard,16.5,11.0
133,Jurrell Casey,15.0,13.0
180,Akiem Hicks,14.5,14.5
33,Jamie Collins,14.5,14.5
18,Lavonte David,14.0,16.0
83,Matt Milano,13.5,17.0
103,Lorenzo Alexander,13.0,18.0
68,Damon Harrison,12.5,19.5
24,Demario Davis,12.5,19.5
169,Trey Flowers,12.0,21.5
36,Budda Baker,12.0,21.5
19,Jamal Adams,11.5,23.5
141,Jonathan Allen,11.5,23.5
42,Jayon Brown,11.0,25.0
40,Zach Brown,10.5,26.0
71,Haason Reddick,10.0,28.5
32,Anthony Walker,10.0,28.5
1,Blake Martinez,10.0,28.5
38,Jarrad Davis,10.0,28.5
145,Patrick Onwuasor,9.5,31.0
9,Cory Littleton,9.0,32.5
62,Harrison Smith,9.0,32.5
185,Kenny Clark,8.5,34.0
127,Elandon Roberts,8.0,39.0
87,Vince Williams,8.0,39.0
183,Anthony Barr,8.0,39.0
50,Kyle Van Noy,8.0,39.0
112,AJ Klein,8.0,39.0
199,Preston Smith,8.0,39.0
8,Tahir Whitehead,8.0,39.0
35,Danny Trevathan,8.0,39.0
12,Roquan Smith,8.0,39.0
14,Jaylon Smith,7.5,46.0
148,Dalvin Tomlinson,7.5,46.0
100,Jon Bostic,7.5,46.0
48,Alec Ogletree,7.5,46.0
37,Jordan Poyer,7.5,46.0
167,Mike Hilton,7.0,50.0
31,CJ Mosley,7.0,50.0
173,Da'ron Payne,7.0,50.0
4,Anthony Hitchens,6.5,52.5
29,Raekwon McMillan,6.5,52.5
30,Benardrick McKinney,6.0,57.5
3,Bobby Wagner,6.0,57.5
97,Tony Jefferson,6.0,57.5
155,Rasul Douglas,6.0,57.5
45,Landon Collins,6.0,57.5
34,Joe Schobert,6.0,57.5
25,Eric Kendricks,6.0,57.5
20,Todd Davis,6.0,57.5
39,Malcolm Jenkins,5.5,67.0
107,Reshad Jones,5.5,67.0
21,Wesley Woodyard,5.5,67.0
94,Josh Bynes,5.5,67.0
78,Thomas Davis,5.5,67.0
15,Tremaine Edmunds,5.5,67.0
136,BJ Goodson,5.5,67.0
13,Avery Williamson,5.5,67.0
54,Tyrann Mathieu,5.5,67.0
5,Telvin Smith,5.5,67.0
65,Nick Vigil,5.5,67.0
16,Antoine Bethea,5.0,79.0
85,Kenny Moore,5.0,79.0
153,Ndamukong Suh,5.0,79.0
166,Linval Joseph,5.0,79.0
98,Darron Lee,5.0,79.0
197,Denzel Ward,5.0,79.0
140,Alex Anzalone,5.0,79.0
99,Donte Jackson,5.0,79.0
58,Kareem Jackson,5.0,79.0
77,Shaq Thompson,5.0,79.0
74,Jabrill Peppers,5.0,79.0
57,Vonn Bell,5.0,79.0
52,Jordan Hicks,5.0,79.0
44,Nigel Bradham,4.5,88.0
81,Brad McDougald,4.5,88.0
28,Derwin James,4.5,88.0
161,Buster Skrine,4.5,88.0
187,Michael Brockers,4.5,88.0
6,Mason Foster,4.0,97.0
47,De'Vondre Campbell,4.0,97.0
114,Malcolm Butler,4.0,97.0
108,Eric Reid,4.0,97.0
157,Josey Jewell,4.0,97.0
134,Desmond King,4.0,97.0
90,Brian Poole,4.0,97.0
88,Logan Ryan,4.0,97.0
11,Fred Warner,4.0,97.0
86,Jordan Whitehead,4.0,97.0
196,PJ Williams,4.0,97.0
61,Jeff Heath,4.0,97.0
72,Jerome Baker,4.0,97.0
144,Mark Barron,3.5,108.5
113,Christian Jones,3.5,108.5
163,Kenny Vaccaro,3.5,108.5
