,NAME,INT YDS,INT YDS_rank
161,Buster Skrine,0,151.5
173,Da'ron Payne,0,151.5
24,Demario Davis,0,151.5
1,Blake Martinez,0,151.5
4,Anthony Hitchens,0,151.5
195,Nevin Lawson,0,151.5
194,Rashaan Evans,0,151.5
7,Luke Kuechly,0,151.5
192,Ben Gedeon,0,151.5
8,Tahir Whitehead,0,151.5
11,Fred Warner,0,151.5
189,Patrick Peterson,0,151.5
14,Jaylon Smith,0,151.5
187,Michael Brockers,0,151.5
186,Tramon Williams,0,151.5
185,Kenny Clark,0,151.5
184,Josh Jones,0,151.5
183,Anthony Barr,0,151.5
16,Antoine Bethea,0,151.5
181,Eric Murray,0,151.5
180,Akiem Hicks,0,151.5
18,Lavonte David,0,151.5
178,Justin Coleman,0,151.5
177,Gerald Hodges,0,151.5
176,Dee Ford,0,151.5
21,Wesley Woodyard,0,151.5
151,Aaron Donald,0,151.5
150,Lawrence Guy,0,151.5
146,Bradley Chubb,0,151.5
148,Dalvin Tomlinson,0,151.5
55,Clayton Geathers,0,151.5
116,TJ Watt,0,151.5
115,Marquel Lee,0,151.5
57,Vonn Bell,0,151.5
113,Christian Jones,0,151.5
65,Nick Vigil,0,151.5
110,Jason McCourty,0,151.5
67,Kendall Fuller,0,151.5
68,Damon Harrison,0,151.5
71,Haason Reddick,0,151.5
106,Chidobe Awuzie,0,151.5
105,Danielle Hunter,0,151.5
104,Calais Campbell,0,151.5
74,Jabrill Peppers,0,151.5
77,Shaq Thompson,0,151.5
100,Jon Bostic,0,151.5
78,Thomas Davis,0,151.5
86,Jordan Whitehead,0,151.5
88,Logan Ryan,0,151.5
96,Travis Carrie,0,151.5
95,Glover Quin,0,151.5
118,Eric Weddle,0,151.5
119,Darqueze Dennard,0,151.5
120,Byron Jones,0,151.5
121,Deforest Buckner,0,151.5
147,Marshon Lattimore,0,151.5
40,Zach Brown,0,151.5
144,Mark Barron,0,151.5
43,Jatavis Brown,0,151.5
44,Nigel Bradham,0,151.5
141,Jonathan Allen,0,151.5
139,Duke Riley,0,151.5
45,Landon Collins,0,151.5
137,Bobby McCain,0,151.5
46,Adrian Phillips,0,151.5
149,BW Webb,0,151.5
135,JJ Watt,0,151.5
133,Jurrell Casey,0,151.5
50,Kyle Van Noy,0,151.5
131,Joe Haden,0,151.5
51,Foyesade Oluokun,0,151.5
52,Jordan Hicks,0,151.5
128,Elijah Lee,0,151.5
127,Elandon Roberts,0,151.5
126,Jalen Ramsey,0,151.5
123,Desmond Trufant,0,151.5
122,Tre Flowers,0,151.5
47,De'Vondre Campbell,0,151.5
99,Donte Jackson,0,151.5
