,NAME,FUMR YDS,FUMR YDS_rank
100,Mychal Kendricks,0,120.0
104,Brad McDougald,0,120.0
105,Danny Trevathan,0,120.0
107,Grady Jarrett,0,120.0
108,AJ Klein,0,120.0
109,Jordan Whitehead,0,120.0
84,Tyrann Mathieu,0,120.0
56,Kevin Byard,0,120.0
83,Jabrill Peppers,0,120.0
80,Germaine Pratt,0,120.0
58,David Mayo,0,120.0
59,Kyle Fuller,0,120.0
60,Jamie Collins,0,120.0
61,Mack Wilson,0,120.0
63,Tre Flowers,0,120.0
64,Damien Wilson,0,120.0
65,Eric Rowe,0,120.0
66,Malcolm Jenkins,0,120.0
82,Sam Hubbard,0,120.0
67,Alec Ogletree,0,120.0
69,Jarrod Wilson,0,120.0
70,Chidobe Awuzie,0,120.0
72,Byron Murphy,0,120.0
74,Nathan Gerry,0,120.0
75,Justin Reid,0,120.0
76,Rodney McLeod,0,120.0
78,Nick Kwiatkoski,0,120.0
79,Levi Wallace,0,120.0
199,Clayton Geathers,0,120.0
101,Ronnie Harrison,-3,199.0
68,James Burgess,-4,200.0
