,NAME,FUMR YDS,FUMR YDS_rank
48,Devin White,121,1.0
122,Marlon Humphrey,91,2.0
106,Minkah Fitzpatrick,79,3.0
102,Kareem Jackson,70,4.0
23,Rashaan Evans,53,5.0
153,Nigel Bradham,47,6.0
36,Jayon Brown,46,7.0
94,Markus Golden,42,8.0
49,Vonn Bell,38,9.0
95,Micah Hyde,31,10.0
170,Dante Fowler Jr,26,11.5
98,Dont'a Hightower,26,11.5
28,Eric Kendricks,25,13.5
86,Jamal Adams,25,13.5
180,Jalen Thompson,24,15.0
5,Zach Cunningham,23,16.0
178,Kyle Van Noy,22,17.0
9,Joe Schobert,21,18.0
29,Devin Bush,20,19.5
175,Trae Waynes,20,19.5
71,Anthony Barr,19,21.0
62,Mark Barron,17,22.0
8,Cory Littleton,16,23.0
44,Tavon Wilson,14,24.5
25,Nick Vigil,14,24.5
167,Devon Kennard,13,26.0
138,Deforest Buckner,12,27.0
77,Xavier Woods,9,28.0
177,Calais Campbell,8,29.0
160,Carlton Davis,7,30.0
6,Jaylon Smith,6,31.5
172,Daryl Worley,6,31.5
0,Bobby Wagner,5,33.5
26,Deion Jones,5,33.5
103,Danielle Hunter,4,35.0
158,Eddie Jackson,3,37.0
119,Joe Haden,3,37.0
81,Haason Reddick,3,37.0
150,Vernon Hargreaves,2,39.0
155,Kenny Moore,1,40.5
73,Ha'Sean Clinton-Dix,1,40.5
137,Sheldon Richardson,0,120.0
139,Eric Wilson,0,120.0
136,Jarrad Davis,0,120.0
140,Isaiah Oliver,0,120.0
135,Darryl Roberts,0,120.0
141,Rock Ya-Sin,0,120.0
127,Patrick Onwuasor,0,120.0
133,Carlos Dunlap,0,120.0
114,Denzel Perryman,0,120.0
115,Joey Bosa,0,120.0
116,Rashaan Melvin,0,120.0
117,Kevin King,0,120.0
118,Myles Jack,0,120.0
120,Marcus Maye,0,120.0
121,Joe Walker,0,120.0
123,Mike Hilton,0,120.0
124,Bobby Okereke,0,120.0
125,James Bradberry,0,120.0
126,AJ Bouye,0,120.0
142,Ross Cockrell,0,120.0
128,Shaquill Griffin,0,120.0
129,Jimmie Ward,0,120.0
130,Matt Ioannidis,0,120.0
131,Michael Brockers,0,120.0
132,Xavier Rhodes,0,120.0
134,Jeff Heath,0,120.0
143,Montae Nicholson,0,120.0
156,Donald Payne,0,120.0
145,Danny Shelton,0,120.0
179,Marshon Lattimore,0,120.0
181,Preston Smith,0,120.0
182,Tyeler Davison,0,120.0
183,Chris Harris,0,120.0
184,Ben Niemann,0,120.0
185,Da'ron Payne,0,120.0
186,Za'Darius Smith,0,120.0
187,Christian Wilkins,0,120.0
176,Daniel Sorensen,0,120.0
188,Lorenzo Alexander,0,120.0
190,Tre Herndon,0,120.0
191,Marcus Williams,0,120.0
192,Vince Williams,0,120.0
193,Darnell Savage,0,120.0
194,Preston Brown,0,120.0
195,Matt Judon,0,120.0
196,Rayshawn Jenkins,0,120.0
197,Justin Coleman,0,120.0
189,TJ Watt,0,120.0
144,Foyesade Oluokun,0,120.0
174,Eli Apple,0,120.0
171,Jahlani Tavai,0,120.0
146,Kenny Clark,0,120.0
147,Lawrence Guy,0,120.0
148,Deandre Baker,0,120.0
149,Richard Sherman,0,120.0
151,Steven Nelson,0,120.0
152,Janoris Jenkins,0,120.0
154,Damarious Randall,0,120.0
113,Jonathan Allen,0,120.0
173,Tre'Davious White,0,120.0
157,Javon Hargrave,0,120.0
161,Jomal Wiltz,0,120.0
162,Brian Poole,0,120.0
163,Vince Biegel,0,120.0
164,Jaire Alexander,0,120.0
165,Shaquil Barrett,0,120.0
166,Juan Thornhill,0,120.0
168,Devin McCourty,0,120.0
169,Troy Reeder,0,120.0
159,Anthony Harris,0,120.0
112,Bud Dupree,0,120.0
99,Khari Willis,0,120.0
110,Harold Landry,0,120.0
32,Tahir Whitehead,0,120.0
33,Jordan Poyer,0,120.0
34,Cole Holcomb,0,120.0
35,Terrell Edmunds,0,120.0
37,Jon Bostic,0,120.0
38,Tracy Walker,0,120.0
39,Matt Milano,0,120.0
40,Benardrick McKinney,0,120.0
31,Eric Weddle,0,120.0
41,Taylor Rapp,0,120.0
43,Jessie Bates III,0,120.0
45,Alexander Johnson,0,120.0
46,Justin Simmons,0,120.0
47,Dre Greenlaw,0,120.0
50,Anthony Hitchens,0,120.0
51,Sean Lee,0,120.0
52,Ricardo Allen,0,120.0
53,Harrison Smith,0,120.0
42,Roquan Smith,0,120.0
54,Adrian Amos,0,120.0
30,Shaq Thompson,0,120.0
24,Demario Davis,0,120.0
1,Blake Martinez,0,120.0
2,Jordan Hicks,0,120.0
3,Budda Baker,0,120.0
4,Luke Kuechly,0,120.0
7,Todd Davis,0,120.0
10,KJ Wright,0,120.0
11,Eric Reid,0,120.0
12,De'Vondre Campbell,0,120.0
27,Antoine Bethea,0,120.0
13,Jerome Baker,0,120.0
15,Lavonte David,0,120.0
16,Darius Leonard,0,120.0
17,Fred Warner,0,120.0
18,Landon Collins,0,120.0
19,Tremaine Edmunds,0,120.0
20,Shawn Williams,0,120.0
21,Logan Ryan,0,120.0
22,Thomas Davis,0,120.0
14,Anthony Walker,0,120.0
111,Tre Boston,0,120.0
55,Kenny Vaccaro,0,120.0
57,Cameron Heyward,0,120.0
85,Drue Tranquill,0,120.0
87,Neville Hewitt,0,120.0
88,Erik Harris,0,120.0
89,Charvarius Ward,0,120.0
90,Damontae Kazee,0,120.0
91,Davon Godchaux,0,120.0
92,Chuck Clark,0,120.0
93,Nicholas Morrow,0,120.0
96,Raekwon McMillan,0,120.0
97,Leighton Vander Esch,0,120.0
198,Arik Armstead,0,120.0
