,NAME,TFL,TFL_rank
165,Shaquil Barrett,22.5,1.0
115,Joey Bosa,20.0,2.5
189,TJ Watt,20.0,2.5
186,Za'Darius Smith,18.5,4.5
112,Bud Dupree,18.5,4.5
170,Dante Fowler Jr,18.0,6.0
94,Markus Golden,17.5,7.5
103,Danielle Hunter,17.5,7.5
195,Matt Judon,17.0,9.5
133,Carlos Dunlap,17.0,9.5
107,Grady Jarrett,16.5,11.0
57,Cameron Heyward,14.0,12.5
60,Jamie Collins,14.0,12.5
110,Harold Landry,13.5,15.0
86,Jamal Adams,13.5,15.0
198,Arik Armstead,13.5,15.0
138,Deforest Buckner,13.0,17.5
2,Jordan Hicks,13.0,17.5
181,Preston Smith,12.5,19.0
177,Calais Campbell,12.0,20.0
130,Matt Ioannidis,11.5,22.0
15,Lavonte David,11.5,22.0
24,Demario Davis,11.5,22.0
19,Tremaine Edmunds,11.0,24.5
30,Shaq Thompson,11.0,24.5
146,Kenny Clark,10.5,27.0
23,Rashaan Evans,10.5,27.0
82,Sam Hubbard,10.5,27.0
29,Devin Bush,10.0,29.0
39,Matt Milano,9.5,32.0
18,Landon Collins,9.5,32.0
16,Darius Leonard,9.5,32.0
98,Dont'a Hightower,9.5,32.0
5,Zach Cunningham,9.5,32.0
100,Mychal Kendricks,9.0,38.0
178,Kyle Van Noy,9.0,38.0
68,James Burgess,9.0,38.0
167,Devon Kennard,9.0,38.0
0,Bobby Wagner,9.0,38.0
66,Malcolm Jenkins,9.0,38.0
26,Deion Jones,9.0,38.0
3,Budda Baker,8.5,42.0
14,Anthony Walker,8.0,45.0
6,Jaylon Smith,8.0,45.0
113,Jonathan Allen,8.0,45.0
78,Nick Kwiatkoski,8.0,45.0
17,Fred Warner,8.0,45.0
12,De'Vondre Campbell,7.0,50.5
71,Anthony Barr,7.0,50.5
21,Logan Ryan,7.0,50.5
192,Vince Williams,7.0,50.5
32,Tahir Whitehead,7.0,50.5
11,Eric Reid,7.0,50.5
1,Blake Martinez,6.5,56.5
123,Mike Hilton,6.5,56.5
9,Joe Schobert,6.5,56.5
13,Jerome Baker,6.5,56.5
81,Haason Reddick,6.5,56.5
58,David Mayo,6.5,56.5
67,Alec Ogletree,6.0,67.0
87,Neville Hewitt,6.0,67.0
83,Jabrill Peppers,6.0,67.0
74,Nathan Gerry,6.0,67.0
147,Lawrence Guy,6.0,67.0
163,Vince Biegel,6.0,67.0
171,Jahlani Tavai,6.0,67.0
108,AJ Klein,6.0,67.0
50,Anthony Hitchens,6.0,67.0
45,Alexander Johnson,6.0,67.0
4,Luke Kuechly,6.0,67.0
7,Todd Davis,6.0,67.0
139,Eric Wilson,6.0,67.0
38,Tracy Walker,6.0,67.0
49,Vonn Bell,6.0,67.0
158,Eddie Jackson,5.5,79.5
40,Benardrick McKinney,5.5,79.5
136,Jarrad Davis,5.5,79.5
20,Shawn Williams,5.5,79.5
10,KJ Wright,5.5,79.5
33,Jordan Poyer,5.5,79.5
121,Joe Walker,5.5,79.5
137,Sheldon Richardson,5.5,79.5
8,Cory Littleton,5.5,79.5
69,Jarrod Wilson,5.5,79.5
157,Javon Hargrave,5.0,92.5
132,Xavier Rhodes,5.0,92.5
91,Davon Godchaux,5.0,92.5
25,Nick Vigil,5.0,92.5
61,Mack Wilson,5.0,92.5
188,Lorenzo Alexander,5.0,92.5
127,Patrick Onwuasor,5.0,92.5
62,Mark Barron,5.0,92.5
42,Roquan Smith,5.0,92.5
122,Marlon Humphrey,5.0,92.5
52,Ricardo Allen,5.0,92.5
53,Harrison Smith,5.0,92.5
182,Tyeler Davison,5.0,92.5
114,Denzel Perryman,5.0,92.5
34,Cole Holcomb,5.0,92.5
155,Kenny Moore,5.0,92.5
109,Jordan Whitehead,4.5,106.0
102,Kareem Jackson,4.5,106.0
131,Michael Brockers,4.5,106.0
51,Sean Lee,4.5,106.0
28,Eric Kendricks,4.5,106.0
162,Brian Poole,4.5,106.0
54,Adrian Amos,4.5,106.0
64,Damien Wilson,4.5,106.0
41,Taylor Rapp,4.5,106.0
48,Devin White,4.5,106.0
173,Tre'Davious White,4.5,106.0
175,Trae Waynes,4.0,116.5
187,Christian Wilkins,4.0,116.5
97,Leighton Vander Esch,4.0,116.5
44,Tavon Wilson,4.0,116.5
134,Jeff Heath,4.0,116.5
85,Drue Tranquill,4.0,116.5
35,Terrell Edmunds,4.0,116.5
93,Nicholas Morrow,4.0,116.5
22,Thomas Davis,4.0,116.5
79,Levi Wallace,4.0,116.5
124,Bobby Okereke,3.5,125.5
117,Kevin King,3.5,125.5
118,Myles Jack,3.5,125.5
80,Germaine Pratt,3.5,125.5
145,Danny Shelton,3.5,125.5
84,Tyrann Mathieu,3.5,125.5
92,Chuck Clark,3.5,125.5
154,Damarious Randall,3.5,125.5
160,Carlton Davis,3.0,135.5
185,Da'ron Payne,3.0,135.5
156,Donald Payne,3.0,135.5
99,Khari Willis,3.0,135.5
101,Ronnie Harrison,3.0,135.5
27,Antoine Bethea,3.0,135.5
119,Joe Haden,3.0,135.5
105,Danny Trevathan,3.0,135.5
37,Jon Bostic,3.0,135.5
47,Dre Greenlaw,3.0,135.5
55,Kenny Vaccaro,3.0,135.5
36,Jayon Brown,3.0,135.5
142,Ross Cockrell,2.5,143.0
46,Justin Simmons,2.5,143.0
129,Jimmie Ward,2.5,143.0
96,Raekwon McMillan,2.0,152.0
128,Shaquill Griffin,2.0,152.0
161,Jomal Wiltz,2.0,152.0
56,Kevin Byard,2.0,152.0
164,Jaire Alexander,2.0,152.0
63,Tre Flowers,2.0,152.0
72,Byron Murphy,2.0,152.0
90,Damontae Kazee,2.0,152.0
176,Daniel Sorensen,2.0,152.0
153,Nigel Bradham,2.0,152.0
149,Richard Sherman,2.0,152.0
148,Deandre Baker,2.0,152.0
144,Foyesade Oluokun,2.0,152.0
135,Darryl Roberts,2.0,152.0
141,Rock Ya-Sin,2.0,152.0
104,Brad McDougald,1.5,163.5
126,AJ Bouye,1.5,163.5
168,Devin McCourty,1.5,163.5
75,Justin Reid,1.5,163.5
193,Darnell Savage,1.5,163.5
77,Xavier Woods,1.5,163.5
31,Eric Weddle,1.5,163.5
95,Micah Hyde,1.5,163.5
179,Marshon Lattimore,1.0,176.5
196,Rayshawn Jenkins,1.0,176.5
190,Tre Herndon,1.0,176.5
59,Kyle Fuller,1.0,176.5
183,Chris Harris,1.0,176.5
184,Ben Niemann,1.0,176.5
65,Eric Rowe,1.0,176.5
199,Clayton Geathers,1.0,176.5
70,Chidobe Awuzie,1.0,176.5
172,Daryl Worley,1.0,176.5
125,James Bradberry,1.0,176.5
169,Troy Reeder,1.0,176.5
120,Marcus Maye,1.0,176.5
88,Erik Harris,1.0,176.5
159,Anthony Harris,1.0,176.5
111,Tre Boston,1.0,176.5
150,Vernon Hargreaves,1.0,176.5
106,Minkah Fitzpatrick,1.0,176.5
194,Preston Brown,0.5,188.5
191,Marcus Williams,0.5,188.5
143,Montae Nicholson,0.5,188.5
43,Jessie Bates III,0.5,188.5
76,Rodney McLeod,0.5,188.5
73,Ha'Sean Clinton-Dix,0.5,188.5
151,Steven Nelson,0.0,196.0
152,Janoris Jenkins,0.0,196.0
89,Charvarius Ward,0.0,196.0
140,Isaiah Oliver,0.0,196.0
116,Rashaan Melvin,0.0,196.0
180,Jalen Thompson,0.0,196.0
197,Justin Coleman,0.0,196.0
174,Eli Apple,0.0,196.0
166,Juan Thornhill,0.0,196.0
