,NAME,INT TD,INT TD_rank
88,Erik Harris,2,1.0
150,Vernon Hargreaves,1,10.5
41,Taylor Rapp,1,10.5
17,Fred Warner,1,10.5
16,Darius Leonard,1,10.5
74,Nathan Gerry,1,10.5
159,Anthony Harris,1,10.5
83,Jabrill Peppers,1,10.5
65,Eric Rowe,1,10.5
86,Jamal Adams,1,10.5
162,Brian Poole,1,10.5
191,Marcus Williams,1,10.5
166,Juan Thornhill,1,10.5
60,Jamie Collins,1,10.5
106,Minkah Fitzpatrick,1,10.5
149,Richard Sherman,1,10.5
108,AJ Klein,1,10.5
73,Ha'Sean Clinton-Dix,1,10.5
26,Deion Jones,1,10.5
132,Xavier Rhodes,0,110.0
134,Jeff Heath,0,110.0
133,Carlos Dunlap,0,110.0
136,Jarrad Davis,0,110.0
137,Sheldon Richardson,0,110.0
138,Deforest Buckner,0,110.0
139,Eric Wilson,0,110.0
140,Isaiah Oliver,0,110.0
141,Rock Ya-Sin,0,110.0
142,Ross Cockrell,0,110.0
143,Montae Nicholson,0,110.0
135,Darryl Roberts,0,110.0
131,Michael Brockers,0,110.0
127,Patrick Onwuasor,0,110.0
129,Jimmie Ward,0,110.0
107,Grady Jarrett,0,110.0
109,Jordan Whitehead,0,110.0
110,Harold Landry,0,110.0
111,Tre Boston,0,110.0
112,Bud Dupree,0,110.0
113,Jonathan Allen,0,110.0
114,Denzel Perryman,0,110.0
115,Joey Bosa,0,110.0
116,Rashaan Melvin,0,110.0
117,Kevin King,0,110.0
118,Myles Jack,0,110.0
119,Joe Haden,0,110.0
120,Marcus Maye,0,110.0
121,Joe Walker,0,110.0
122,Marlon Humphrey,0,110.0
123,Mike Hilton,0,110.0
124,Bobby Okereke,0,110.0
125,James Bradberry,0,110.0
126,AJ Bouye,0,110.0
144,Foyesade Oluokun,0,110.0
128,Shaquill Griffin,0,110.0
130,Matt Ioannidis,0,110.0
145,Danny Shelton,0,110.0
0,Bobby Wagner,0,110.0
147,Lawrence Guy,0,110.0
177,Calais Campbell,0,110.0
178,Kyle Van Noy,0,110.0
179,Marshon Lattimore,0,110.0
180,Jalen Thompson,0,110.0
181,Preston Smith,0,110.0
182,Tyeler Davison,0,110.0
183,Chris Harris,0,110.0
184,Ben Niemann,0,110.0
185,Da'ron Payne,0,110.0
176,Daniel Sorensen,0,110.0
186,Za'Darius Smith,0,110.0
188,Lorenzo Alexander,0,110.0
189,TJ Watt,0,110.0
190,Tre Herndon,0,110.0
192,Vince Williams,0,110.0
193,Darnell Savage,0,110.0
194,Preston Brown,0,110.0
195,Matt Judon,0,110.0
196,Rayshawn Jenkins,0,110.0
197,Justin Coleman,0,110.0
187,Christian Wilkins,0,110.0
146,Kenny Clark,0,110.0
175,Trae Waynes,0,110.0
173,Tre'Davious White,0,110.0
148,Deandre Baker,0,110.0
151,Steven Nelson,0,110.0
152,Janoris Jenkins,0,110.0
153,Nigel Bradham,0,110.0
154,Damarious Randall,0,110.0
155,Kenny Moore,0,110.0
156,Donald Payne,0,110.0
157,Javon Hargrave,0,110.0
158,Eddie Jackson,0,110.0
174,Eli Apple,0,110.0
160,Carlton Davis,0,110.0
163,Vince Biegel,0,110.0
164,Jaire Alexander,0,110.0
165,Shaquil Barrett,0,110.0
167,Devon Kennard,0,110.0
168,Devin McCourty,0,110.0
169,Troy Reeder,0,110.0
170,Dante Fowler Jr,0,110.0
171,Jahlani Tavai,0,110.0
172,Daryl Worley,0,110.0
161,Jomal Wiltz,0,110.0
105,Danny Trevathan,0,110.0
99,Khari Willis,0,110.0
103,Danielle Hunter,0,110.0
28,Eric Kendricks,0,110.0
29,Devin Bush,0,110.0
30,Shaq Thompson,0,110.0
31,Eric Weddle,0,110.0
32,Tahir Whitehead,0,110.0
33,Jordan Poyer,0,110.0
34,Cole Holcomb,0,110.0
35,Terrell Edmunds,0,110.0
36,Jayon Brown,0,110.0
37,Jon Bostic,0,110.0
38,Tracy Walker,0,110.0
39,Matt Milano,0,110.0
40,Benardrick McKinney,0,110.0
42,Roquan Smith,0,110.0
43,Jessie Bates III,0,110.0
44,Tavon Wilson,0,110.0
45,Alexander Johnson,0,110.0
46,Justin Simmons,0,110.0
47,Dre Greenlaw,0,110.0
27,Antoine Bethea,0,110.0
25,Nick Vigil,0,110.0
24,Demario Davis,0,110.0
23,Rashaan Evans,0,110.0
1,Blake Martinez,0,110.0
2,Jordan Hicks,0,110.0
3,Budda Baker,0,110.0
4,Luke Kuechly,0,110.0
5,Zach Cunningham,0,110.0
6,Jaylon Smith,0,110.0
7,Todd Davis,0,110.0
8,Cory Littleton,0,110.0
9,Joe Schobert,0,110.0
48,Devin White,0,110.0
10,KJ Wright,0,110.0
12,De'Vondre Campbell,0,110.0
13,Jerome Baker,0,110.0
14,Anthony Walker,0,110.0
15,Lavonte David,0,110.0
18,Landon Collins,0,110.0
19,Tremaine Edmunds,0,110.0
20,Shawn Williams,0,110.0
21,Logan Ryan,0,110.0
22,Thomas Davis,0,110.0
11,Eric Reid,0,110.0
49,Vonn Bell,0,110.0
50,Anthony Hitchens,0,110.0
51,Sean Lee,0,110.0
80,Germaine Pratt,0,110.0
81,Haason Reddick,0,110.0
82,Sam Hubbard,0,110.0
84,Tyrann Mathieu,0,110.0
85,Drue Tranquill,0,110.0
87,Neville Hewitt,0,110.0
89,Charvarius Ward,0,110.0
90,Damontae Kazee,0,110.0
91,Davon Godchaux,0,110.0
79,Levi Wallace,0,110.0
92,Chuck Clark,0,110.0
94,Markus Golden,0,110.0
95,Micah Hyde,0,110.0
96,Raekwon McMillan,0,110.0
97,Leighton Vander Esch,0,110.0
98,Dont'a Hightower,0,110.0
198,Arik Armstead,0,110.0
100,Mychal Kendricks,0,110.0
101,Ronnie Harrison,0,110.0
102,Kareem Jackson,0,110.0
93,Nicholas Morrow,0,110.0
104,Brad McDougald,0,110.0
78,Nick Kwiatkoski,0,110.0
76,Rodney McLeod,0,110.0
52,Ricardo Allen,0,110.0
53,Harrison Smith,0,110.0
54,Adrian Amos,0,110.0
55,Kenny Vaccaro,0,110.0
56,Kevin Byard,0,110.0
57,Cameron Heyward,0,110.0
58,David Mayo,0,110.0
59,Kyle Fuller,0,110.0
61,Mack Wilson,0,110.0
77,Xavier Woods,0,110.0
62,Mark Barron,0,110.0
64,Damien Wilson,0,110.0
66,Malcolm Jenkins,0,110.0
67,Alec Ogletree,0,110.0
68,James Burgess,0,110.0
69,Jarrod Wilson,0,110.0
70,Chidobe Awuzie,0,110.0
71,Anthony Barr,0,110.0
72,Byron Murphy,0,110.0
75,Justin Reid,0,110.0
63,Tre Flowers,0,110.0
199,Clayton Geathers,0,110.0
