,NAME,PASS DEF,PASS DEF_rank
179,Kyle Fuller,19,1.0
58,Kareem Jackson,17,2.0
109,Janoris Jenkins,15,4.0
111,James Bradberry,15,4.0
117,Steven Nelson,15,4.0
120,Byron Jones,14,7.0
93,Eli Apple,14,7.0
168,Morris Claiborne,14,7.0
28,Derwin James,13,10.0
9,Cory Littleton,13,10.0
162,Johnathan Joseph,13,10.0
114,Malcolm Butler,12,15.0
123,Desmond Trufant,12,15.0
124,Prince Amukamara,12,15.0
126,Jalen Ramsey,12,15.0
19,Jamal Adams,12,15.0
131,Joe Haden,12,15.0
147,Marshon Lattimore,12,15.0
17,John Johnson,11,21.0
106,Chidobe Awuzie,11,21.0
15,Tremaine Edmunds,11,21.0
197,Denzel Ward,11,21.0
67,Kendall Fuller,11,21.0
3,Bobby Wagner,10,27.5
69,Damontae Kazee,10,27.5
178,Justin Coleman,10,27.5
56,Justin Reid,10,27.5
23,Shawn Williams,10,27.5
125,Jaire Alexander,10,27.5
46,Adrian Phillips,10,27.5
102,Adoree` Jackson,10,27.5
70,Minkah Fitzpatrick,9,39.0
63,Damarious Randall,9,39.0
85,Kenny Moore,9,39.0
81,Brad McDougald,9,39.0
96,Travis Carrie,9,39.0
76,Tre Boston,9,39.0
99,Donte Jackson,9,39.0
103,Lorenzo Alexander,9,39.0
107,Reshad Jones,9,39.0
110,Jason McCourty,9,39.0
129,Josh Norman,9,39.0
134,Desmond King,9,39.0
174,Rashaan Melvin,9,39.0
182,Xavier Woods,9,39.0
196,PJ Williams,9,39.0
88,Logan Ryan,8,53.0
80,Quandre Diggs,8,53.0
132,Shaquill Griffin,8,53.0
75,Pierre Desir,8,53.0
190,Tre'Davious White,8,53.0
193,AJ Bouye,8,53.0
101,Adrian Amos,8,53.0
54,Tyrann Mathieu,8,53.0
0,Darius Leonard,8,53.0
22,Jessie Bates III,8,53.0
48,Alec Ogletree,8,53.0
39,Malcolm Jenkins,8,53.0
53,Kevin Byard,8,53.0
73,Sean Davis,7,64.5
122,Tre Flowers,7,64.5
188,Tashaun Gipson,7,64.5
30,Benardrick McKinney,7,64.5
161,Buster Skrine,7,64.5
172,Jonathan Jones,7,64.5
20,Todd Davis,7,64.5
83,Matt Milano,7,64.5
2,Leighton Vander Esch,7,64.5
167,Mike Hilton,7,64.5
42,Jayon Brown,6,79.5
90,Brian Poole,6,79.5
34,Joe Schobert,6,79.5
11,Fred Warner,6,79.5
78,Thomas Davis,6,79.5
37,Jordan Poyer,6,79.5
91,Curtis Riley,6,79.5
97,Tony Jefferson,6,79.5
10,Kiko Alonso,6,79.5
119,Darqueze Dennard,6,79.5
7,Luke Kuechly,6,79.5
49,Ha'Sean Clinton-Dix,6,79.5
25,Eric Kendricks,6,79.5
62,Harrison Smith,6,79.5
156,Marcus Gilchrist,6,79.5
198,Deion Jones,6,79.5
149,BW Webb,6,79.5
13,Avery Williamson,6,79.5
164,Michael Thomas,6,79.5
92,Mike Adams,6,79.5
98,Darron Lee,5,100.0
108,Eric Reid,5,100.0
31,CJ Mosley,5,100.0
160,Micah Hyde,5,100.0
159,Fabian Moreau,5,100.0
137,Bobby McCain,5,100.0
35,Danny Trevathan,5,100.0
27,Zach Cunningham,5,100.0
142,Adarius Taylor,5,100.0
71,Haason Reddick,5,100.0
189,Patrick Peterson,5,100.0
195,Nevin Lawson,5,100.0
61,Jeff Heath,5,100.0
60,TJ McDonald,5,100.0
43,Jatavis Brown,5,100.0
84,Ron Parker,5,100.0
38,Jarrad Davis,5,100.0
8,Tahir Whitehead,5,100.0
175,Corey Graham,5,100.0
52,Jordan Hicks,5,100.0
94,Josh Bynes,5,100.0
14,Jaylon Smith,4,122.5
153,Ndamukong Suh,4,122.5
136,BJ Goodson,4,122.5
121,Deforest Buckner,4,122.5
155,Rasul Douglas,4,122.5
57,Vonn Bell,4,122.5
191,Bene' Benwikere,4,122.5
24,Demario Davis,4,122.5
66,Devin McCourty,4,122.5
135,JJ Watt,4,122.5
16,Antoine Bethea,4,122.5
127,Elandon Roberts,4,122.5
32,Anthony Walker,4,122.5
74,Jabrill Peppers,4,122.5
45,Landon Collins,4,122.5
12,Roquan Smith,4,122.5
163,Kenny Vaccaro,4,122.5
44,Nigel Bradham,4,122.5
86,Jordan Whitehead,4,122.5
79,Terrell Edmunds,4,122.5
180,Akiem Hicks,4,122.5
6,Mason Foster,4,122.5
33,Jamie Collins,4,122.5
41,Justin Simmons,4,122.5
173,Da'ron Payne,3,147.0
152,Marcus Williams,3,147.0
1,Blake Martinez,3,147.0
185,Kenny Clark,3,147.0
170,Tedric Thompson,3,147.0
181,Eric Murray,3,147.0
157,Josey Jewell,3,147.0
171,Briean Boddy-Calhoun,3,147.0
145,Patrick Onwuasor,3,147.0
55,Clayton Geathers,3,147.0
199,Preston Smith,3,147.0
89,Jahleel Addae,3,147.0
95,Glover Quin,3,147.0
100,Jon Bostic,3,147.0
143,Darian Stewart,3,147.0
72,Jerome Baker,3,147.0
112,AJ Klein,3,147.0
113,Christian Jones,3,147.0
115,Marquel Lee,3,147.0
116,TJ Watt,3,147.0
82,Lamarcus Joyner,3,147.0
65,Nick Vigil,3,147.0
118,Eric Weddle,3,147.0
64,Patrick Chung,3,147.0
138,Jordan Evans,3,147.0
128,Elijah Lee,2,166.5
140,Alex Anzalone,2,166.5
36,Budda Baker,2,166.5
50,Kyle Van Noy,2,166.5
139,Duke Riley,2,166.5
169,Trey Flowers,2,166.5
5,Telvin Smith,2,166.5
87,Vince Williams,2,166.5
184,Josh Jones,2,166.5
186,Tramon Williams,2,166.5
154,Justin Evans,2,166.5
21,Wesley Woodyard,2,166.5
18,Lavonte David,2,166.5
183,Anthony Barr,2,166.5
194,Rashaan Evans,1,182.0
68,Damon Harrison,1,182.0
59,Reggie Ragland,1,182.0
51,Foyesade Oluokun,1,182.0
77,Shaq Thompson,1,182.0
192,Ben Gedeon,1,182.0
144,Mark Barron,1,182.0
158,Jason Pierre-Paul,1,182.0
146,Bradley Chubb,1,182.0
151,Aaron Donald,1,182.0
130,Demarcus Lawrence,1,182.0
40,Zach Brown,1,182.0
26,Myles Jack,1,182.0
104,Calais Campbell,1,182.0
165,Hardy Nickerson Jr,1,182.0
176,Dee Ford,1,182.0
29,Raekwon McMillan,1,182.0
187,Michael Brockers,0,195.5
47,De'Vondre Campbell,0,195.5
166,Linval Joseph,0,195.5
133,Jurrell Casey,0,195.5
105,Danielle Hunter,0,195.5
4,Anthony Hitchens,0,195.5
150,Lawrence Guy,0,195.5
148,Dalvin Tomlinson,0,195.5
141,Jonathan Allen,0,195.5
177,Gerald Hodges,0,195.5
