,NAME,SOLO,SOLO_rank
5,Demario Davis,97,2.0
6,CJ Mosley,97,2.0
7,Bobby Wagner,97,2.0
0,Blake Martinez,96,4.0
12,Reshad Jones,93,5.0
4,Deion Jones,91,6.0
3,Christian Kirksey,87,7.0
2,Joe Schobert,85,8.0
9,Zach Brown,84,10.0
11,Wesley Woodyard,84,10.0
1,Preston Brown,84,10.0
13,Keanu Neal,83,12.0
8,NaVorro Bowman,81,13.0
14,Kiko Alonso,79,14.5
26,Devin McCourty,79,14.5
16,Tahir Whitehead,78,16.5
20,Landon Collins,78,16.5
21,Telvin Smith,76,18.0
19,Brandon Marshall,75,19.5
23,Lavonte David,75,19.5
31,Karlos Dansby,74,21.0
60,Patrick Chung,72,24.0
53,Mark Barron,72,24.0
37,Sean Davis,72,24.0
10,Luke Kuechly,72,24.0
17,KJ Wright,72,24.0
22,Sean Lee,70,28.0
25,Kwon Alexander,70,28.0
55,Travis Carrie,70,28.0
42,Vince Williams,69,31.0
83,Tyrann Mathieu,69,31.0
81,Dontae Johnson,69,31.0
44,Ryan Shazier,68,33.0
33,Darron Lee,67,35.0
39,Patrick Onwuasor,67,35.0
43,Daniel Sorensen,67,35.0
52,James Bradberry,66,37.5
15,Eric Kendricks,66,37.5
29,Jarrad Davis,65,42.0
62,Micah Hyde,65,42.0
89,Desmond King,65,42.0
18,Antonio Morrison,65,42.0
40,Myles Jack,65,42.0
70,Ha'Sean Clinton-Dix,65,42.0
27,Jahleel Addae,65,42.0
61,Jamal Adams,63,47.0
34,Jordan Poyer,63,47.0
32,Alec Ogletree,63,47.0
59,Vonn Bell,62,52.0
51,Darqueze Dennard,62,52.0
49,Kevin Byard,62,52.0
82,Chris Conte,62,52.0
35,De'Vondre Campbell,62,52.0
30,Benardrick McKinney,62,52.0
73,DJ Swearinger,62,52.0
87,Darian Thompson,61,59.0
106,Adoree` Jackson,61,59.0
77,Khalil Mack,61,59.0
115,Adrian Amos,61,59.0
47,Nigel Bradham,61,59.0
38,Danny Trevathan,61,59.0
79,Harrison Smith,61,59.0
54,Glover Quin,60,65.5
122,Jeff Heath,60,65.5
94,Kendell Beckwith,60,65.5
93,Malcolm Jenkins,60,65.5
46,Reggie Nelson,60,65.5
41,Christian Jones,60,65.5
101,Reuben Foster,59,71.0
50,Ramon Humber,59,71.0
107,Josh Jones,59,71.0
120,Kyle Fuller,59,71.0
121,Robert Alford,59,71.0
91,Barry Church,58,78.0
96,Kyle Van Noy,58,78.0
126,Ron Parker,58,78.0
99,Marcus Williams,58,78.0
75,Karl Joseph,58,78.0
28,Matthias Farley,58,78.0
57,Lawrence Timmons,58,78.0
69,Marcus Maye,58,78.0
64,Deone Bucannon,58,78.0
108,Lorenzo Alexander,57,84.0
127,Trumaine Johnson,57,84.0
131,Trae Waynes,57,84.0
48,Earl Thomas,56,87.0
141,Buster Skrine,56,87.0
24,Jon Bostic,56,87.0
78,Tony Jefferson,55,91.5
74,Tre Boston,55,91.5
153,Malcolm Butler,55,91.5
67,Byron Jones,55,91.5
58,Anthony Hitchens,55,91.5
98,Eddie Jackson,55,91.5
105,Joey Bosa,54,97.5
72,George Iloka,54,97.5
97,Kareem Jackson,54,97.5
68,Jatavis Brown,54,97.5
154,Darius Slay,54,97.5
129,Jason McCourty,54,97.5
130,Tashaun Gipson,53,105.0
111,Tre'Davious White,53,105.0
76,Andrew Sendejo,53,105.0
90,Mychal Kendricks,53,105.0
123,Eric Reid,53,105.0
104,John Johnson,53,105.0
174,AJ Bouye,53,105.0
109,Budda Baker,53,105.0
71,Craig Robertson,53,105.0
135,Darian Stewart,52,113.0
125,Tyvon Branch,52,113.0
161,Chandler Jones,52,113.0
36,Avery Williamson,52,113.0
138,Jalen Ramsey,52,113.0
56,Vincent Rey,52,113.0
66,Jake Ryan,52,113.0
85,Thomas Davis,51,119.0
86,Kurt Coleman,51,119.0
169,Von Miller,51,119.0
88,Anthony Barr,51,119.0
133,Jalen Mills,51,119.0
156,Matt Judon,50,125.5
167,Shaquill Griffin,50,125.5
150,Ryan Smith,50,125.5
175,Brandon Carr,50,125.5
143,Logan Ryan,50,125.5
132,Daryl Worley,50,125.5
65,Jaylon Smith,50,125.5
84,Damon Harrison,50,125.5
116,Justin Simmons,49,132.0
100,Hayes Pullard,49,132.0
128,Justin Evans,49,132.0
137,Eric Weddle,49,132.0
139,Brian Poole,49,132.0
63,Todd Davis,48,140.0
163,EJ Gaines,48,140.0
117,Morgan Burnett,48,140.0
45,Zach Cunningham,48,140.0
110,Mike Adams,48,140.0
142,Cameron Jordan,48,140.0
103,Derrick Johnson,48,140.0
144,Adrian Phillips,48,140.0
124,Vontaze Burfict,48,140.0
158,Kenny Vaccaro,48,140.0
193,Jourdan Lewis,48,140.0
112,Jason Pierre-Paul,47,150.5
102,Andre Hal,47,150.5
196,Ken Crawley,47,150.5
170,Antoine Bethea,47,150.5
119,Calais Campbell,47,150.5
134,Josh Norman,47,150.5
147,Jamar Taylor,47,150.5
179,Anthony Brown,47,150.5
188,Trevor Williams,47,150.5
185,Dre Kirkpatrick,47,150.5
