,NAME,TCKL,TCKL_rank
0,Blake Martinez,145,1.0
1,Preston Brown,144,2.0
2,Joe Schobert,141,3.0
3,Christian Kirksey,139,4.0
4,Deion Jones,138,5.0
5,Demario Davis,133,7.5
6,CJ Mosley,133,7.5
7,Bobby Wagner,134,6.0
8,NaVorro Bowman,128,9.0
9,Zach Brown,127,10.0
10,Luke Kuechly,121,12.5
11,Wesley Woodyard,124,11.0
12,Reshad Jones,121,12.5
13,Keanu Neal,116,14.0
14,Kiko Alonso,115,15.0
15,Eric Kendricks,114,16.0
16,Tahir Whitehead,110,17.0
17,KJ Wright,108,18.5
18,Antonio Morrison,108,18.5
19,Brandon Marshall,106,20.0
20,Landon Collins,104,21.0
21,Telvin Smith,102,22.0
22,Sean Lee,101,23.0
23,Lavonte David,100,24.0
24,Jon Bostic,98,25.0
25,Kwon Alexander,97,26.0
26,Devin McCourty,96,28.0
27,Jahleel Addae,95,32.0
28,Matthias Farley,96,28.0
29,Jarrad Davis,96,28.0
30,Benardrick McKinney,95,32.0
31,Karlos Dansby,95,32.0
32,Alec Ogletree,95,32.0
33,Darron Lee,94,35.0
34,Jordan Poyer,95,32.0
35,De'Vondre Campbell,93,36.5
36,Avery Williamson,92,38.0
37,Sean Davis,93,36.5
38,Danny Trevathan,91,39.0
39,Patrick Onwuasor,90,40.0
40,Myles Jack,89,43.0
41,Christian Jones,89,43.0
42,Vince Williams,89,43.0
43,Daniel Sorensen,89,43.0
44,Ryan Shazier,89,43.0
45,Zach Cunningham,88,47.5
46,Reggie Nelson,88,47.5
47,Nigel Bradham,88,47.5
48,Earl Thomas,88,47.5
49,Kevin Byard,87,50.5
50,Ramon Humber,87,50.5
51,Darqueze Dennard,86,52.0
52,James Bradberry,85,53.5
53,Mark Barron,85,53.5
54,Glover Quin,84,57.0
55,Travis Carrie,84,57.0
56,Vincent Rey,84,57.0
57,Lawrence Timmons,79,72.5
58,Anthony Hitchens,84,57.0
59,Vonn Bell,83,60.5
60,Patrick Chung,84,57.0
61,Jamal Adams,83,60.5
62,Micah Hyde,82,63.0
63,Todd Davis,82,63.0
64,Deone Bucannon,82,63.0
65,Jaylon Smith,80,66.5
66,Jake Ryan,80,66.5
67,Byron Jones,80,66.5
68,Jatavis Brown,79,72.5
69,Marcus Maye,80,66.5
70,Ha'Sean Clinton-Dix,79,72.5
71,Craig Robertson,79,72.5
72,George Iloka,79,72.5
73,DJ Swearinger,79,72.5
74,Tre Boston,78,78.5
75,Karl Joseph,79,72.5
76,Andrew Sendejo,79,72.5
77,Khalil Mack,78,78.5
78,Tony Jefferson,77,82.5
79,Harrison Smith,78,78.5
80,Nick Vigil,78,78.5
81,Dontae Johnson,77,82.5
82,Chris Conte,77,82.5
83,Tyrann Mathieu,77,82.5
84,Damon Harrison,76,85.5
85,Thomas Davis,75,89.0
86,Kurt Coleman,76,85.5
87,Darian Thompson,75,89.0
88,Anthony Barr,75,89.0
89,Desmond King,75,89.0
90,Mychal Kendricks,75,89.0
91,Barry Church,74,93.0
92,Martrell Spaight,74,93.0
93,Malcolm Jenkins,73,96.5
