name,salary
Mike Iupati,"$8,000,000  "
Brandon Brooks,"$8,000,000  "
Kelvin Beachum,"$8,000,000  "
Bennie Logan,"$8,000,000  "
Marvin Jones,"$8,000,000  "
LeSean McCoy,"$8,000,000  "
Brandon Marshall,"$8,000,000  "
Eric Wood,"$8,000,000  "
Dontari Poe,"$8,000,000  "
Luke Joeckel,"$8,000,000  "
Andre Branch,"$8,000,000  "
Kenny Stills,"$8,000,000  "
Marshal Yanda,"$7,979,412  "
Carlos Dunlap,"$7,874,000  "
Andy Levitre,"$7,800,000  "
Pernell McPhee,"$7,750,000  "
Brian Orakpo,"$7,750,000  "
Morgan Moses,"$7,700,000  "
La'el Collins,"$7,700,000  "
Myles Garrett,"$7,603,064  "
Charles Clay,"$7,600,000  "
Greg Olsen,"$7,500,000  "
Mario Addison,"$7,500,000  "
Joe Staley,"$7,441,667  "
Kyle Williams,"$7,433,333  "
Max Unger,"$7,400,000  "
Jason Witten,"$7,400,000  "
Dwayne Allen,"$7,350,000  "
Adam-Pacman Jones,"$7,333,333  "
Kyle Rudolph,"$7,300,000  "
Mitchell Trubisky,"$7,258,106  "
Mychal Kendricks,"$7,250,000  "
Brian Winters,"$7,250,000  "
Kiko Alonso,"$7,227,500  "
Coby Fleener,"$7,200,000  "
Tashaun Gipson,"$7,200,000  "
C.J. Fiedorowicz,"$7,166,667  "
Doug Martin,"$7,150,000  "
Cliff Avril,"$7,125,000  "
Solomon Thomas,"$7,038,592  "
Prince Amukamara,"$7,000,000  "
Josh Sitton,"$7,000,000  "
Danny Trevathan,"$7,000,000  "
Jeff Allen,"$7,000,000  "
Jared Veldheer,"$7,000,000  "
Jermaine Gresham,"$7,000,000  "
Nick Fairley,"$7,000,000  "
Rodney McLeod,"$7,000,000  "
Tamba Hali,"$7,000,000  "
Sean Lee,"$7,000,000  "
Darian Stewart,"$7,000,000  "
Dominique Rodgers-Cromartie,"$7,000,000  "
Martellus Bennett,"$7,000,000  "
Jared Goff,"$6,984,418  "
Robert Woods,"$6,800,000  "
Leonard Fournette,"$6,787,711  "
Johnathan Joseph,"$6,750,000  "
Thomas Davis,"$6,750,000  "
Brent Grimes,"$6,750,000  "
Derrick Morgan,"$6,750,000  "
K.J. Wright,"$6,750,000  "
Bryan Bulaga,"$6,750,000  "
Delanie Walker,"$6,687,500  "
Carson Wentz,"$6,669,085  "
Mitchell Schwartz,"$6,600,000  "
Vance McDonald,"$6,550,000  "
Eric Weddle,"$6,500,000  "
Lamar Miller,"$6,500,000  "
Whitney Mercilus,"$6,500,000  "
Brandon Graham,"$6,500,000  "
Robert Ayers,"$6,500,000  "
Glover Quin,"$6,500,000  "
Mohamed Sanu,"$6,500,000  "
Barry Church,"$6,500,000  "
Marcus Cannon,"$6,482,000  "
Joey Bosa,"$6,468,421  "
Jermey Parnell,"$6,400,000  "
Chris Ivory,"$6,400,000  "
Corey Davis,"$6,348,672  "
Jameis Winston,"$6,337,819  "
DeMarco Murray,"$6,312,500  "
Jack Doyle,"$6,300,000  "
Ryan Schraeder,"$6,300,000  "
Rodger Saffold,"$6,269,447  "
Jason Kelce,"$6,250,000  "
Buster Skrine,"$6,250,000  "
Allen Bailey,"$6,250,000  "
John Cyprien,"$6,250,000  "
Ezekiel Elliott,"$6,239,085  "
Golden Tate,"$6,200,000  "
Morgan Burnett,"$6,187,500  "
Marcus Gilbert,"$6,163,000  "
Menelik Watson,"$6,125,000  "
Micah Hyde,"$6,100,000  "
Julius Thomas,"$6,100,000  "
Marcus Mariota,"$6,053,494  "
T.J. McDonald,"$6,002,500  "
Bobby Massie,"$6,000,000  "
Dion Sims,"$6,000,000  "
A.J. Klein,"$6,000,000  "
Terrelle Pryor,"$6,000,000  "
Mike Remmers,"$6,000,000  "
George Iloka,"$6,000,000  "
Josh McCown,"$6,000,000  "
Haloti Ngata,"$6,000,000  "
Lawrence Timmons,"$6,000,000  "
Alejandro Villanueva,"$6,000,000  "
Travis Benjamin,"$6,000,000  "
Da'Norris Searcy,"$5,937,500  "
Kyle Van Noy,"$5,878,548  "
Brandon Carr,"$5,875,000  "
Dante Fowler Jr.,"$5,872,563  "
Jalen Ramsey,"$5,837,750  "
Mike Wallace,"$5,750,000  "
Aldon Smith,"$5,750,000  "
Jeremy Lane,"$5,750,000  "
Kurt Coleman,"$5,666,667  "
Amari Cooper,"$5,665,779  "
Jahleel Addae,"$5,625,000  "
J.C. Tretter,"$5,583,333  "
Jadeveon Clowney,"$5,568,250  "
Jamal Adams,"$5,564,685  "
Joe Barksdale,"$5,550,000  "
Willie Young,"$5,525,000  "
Jeremy Maclin,"$5,500,000  "
Markus Wheaton,"$5,500,000  "
William Gholston,"$5,500,000  "
Jamar Taylor,"$5,500,000  "
Demar Dotson,"$5,500,000  "
Nick Foles,"$5,500,000  "
Darrelle Revis,"$5,500,000  "
Julian Edelman,"$5,500,000  "
Sylvester Williams,"$5,500,000  "
Brandon Marshall,"$5,500,000  "
Antonio Gates,"$5,500,000  "
Lane Taylor,"$5,500,000  "
J.R. Sweezy,"$5,437,500  "
Marcus Cooper,"$5,333,333  "
Greg Robinson,"$5,321,025  "
Brandon Scherff,"$5,303,910  "
Malcolm Smith,"$5,300,000  "
Jared Cook,"$5,300,000  "
Kyle Juszczyk,"$5,250,000  "
Terrell McClain,"$5,250,000  "
Chris Baker,"$5,250,000  "
Richie Incognito,"$5,250,000  "
Clint Boling,"$5,200,000  "
Terrell Suggs,"$5,175,000  "
Giovani Bernard,"$5,166,667  "
Blake Bortles,"$5,163,703  "
Benjamin Ijalana,"$5,125,000  "
Derrick Johnson,"$5,125,000  "
Ronnie Stanley,"$5,121,083  "
Casey Hayward,"$5,100,000  "
Shawn Williams,"$5,046,250  "
Austin Howard,"$5,008,333  "
Andre Hal,"$5,000,000  "
