,NAME,TCKL,TCKL_rank
0,Bobby Wagner,158,1.0
1,Blake Martinez,154,2.0
2,Jordan Hicks,148,3.5
3,Budda Baker,148,3.5
4,Luke Kuechly,144,5.0
5,Zach Cunningham,143,6.0
6,Jaylon Smith,141,7.0
7,Todd Davis,134,8.0
9,Joe Schobert,133,9.0
10,KJ Wright,130,10.5
11,Eric Reid,130,10.5
12,De'Vondre Campbell,128,12.0
13,Jerome Baker,126,13.5
14,Anthony Walker,126,13.5
8,Cory Littleton,123,15.0
15,Lavonte David,122,16.0
16,Darius Leonard,120,17.0
17,Fred Warner,118,18.0
18,Landon Collins,117,19.0
19,Tremaine Edmunds,116,20.0
21,Logan Ryan,113,21.0
23,Rashaan Evans,112,22.5
24,Demario Davis,112,22.5
22,Thomas Davis,111,24.5
20,Shawn Williams,111,24.5
26,Deion Jones,110,27.0
27,Antoine Bethea,110,27.0
28,Eric Kendricks,110,27.0
32,Tahir Whitehead,109,29.0
33,Jordan Poyer,108,31.5
29,Devin Bush,108,31.5
25,Nick Vigil,108,31.5
30,Shaq Thompson,108,31.5
34,Cole Holcomb,106,34.0
35,Terrell Edmunds,105,35.0
37,Jon Bostic,103,37.0
36,Jayon Brown,103,37.0
38,Tracy Walker,103,37.0
40,Benardrick McKinney,102,39.0
43,Jessie Bates III,100,40.5
39,Matt Milano,100,40.5
31,Eric Weddle,99,42.0
42,Roquan Smith,98,43.0
44,Tavon Wilson,97,44.0
47,Dre Greenlaw,92,45.0
46,Justin Simmons,91,46.0
48,Devin White,90,47.5
41,Taylor Rapp,90,47.5
49,Vonn Bell,88,49.5
50,Anthony Hitchens,88,49.5
51,Sean Lee,86,51.0
56,Kevin Byard,85,53.0
52,Ricardo Allen,85,53.0
53,Harrison Smith,85,53.0
54,Adrian Amos,84,55.5
55,Kenny Vaccaro,84,55.5
64,Damien Wilson,83,58.5
61,Mack Wilson,83,58.5
59,Kyle Fuller,83,58.5
60,Jamie Collins,83,58.5
63,Tre Flowers,82,63.0
