,NAME,TCKL,TCKL_rank
45,Alexander Johnson,82,63.0
57,Cameron Heyward,82,63.0
58,David Mayo,82,63.0
68,James Burgess,82,63.0
62,Mark Barron,81,67.0
65,Eric Rowe,81,67.0
66,Malcolm Jenkins,81,67.0
71,Anthony Barr,79,70.5
70,Chidobe Awuzie,79,70.5
67,Alec Ogletree,79,70.5
69,Jarrod Wilson,79,70.5
72,Byron Murphy,78,74.0
74,Nathan Gerry,78,74.0
75,Justin Reid,78,74.0
73,Ha'Sean Clinton-Dix,77,76.5
77,Xavier Woods,77,76.5
76,Rodney McLeod,76,80.5
86,Jamal Adams,76,80.5
79,Levi Wallace,76,80.5
80,Germaine Pratt,76,80.5
83,Jabrill Peppers,76,80.5
84,Tyrann Mathieu,76,80.5
89,Charvarius Ward,75,86.0
85,Drue Tranquill,75,86.0
82,Sam Hubbard,75,86.0
78,Nick Kwiatkoski,75,86.0
81,Haason Reddick,75,86.0
87,Neville Hewitt,74,89.5
90,Damontae Kazee,74,89.5
93,Nicholas Morrow,73,91.0
94,Markus Golden,72,93.5
98,Dont'a Hightower,72,93.5
97,Leighton Vander Esch,72,93.5
95,Micah Hyde,72,93.5
101,Ronnie Harrison,71,97.0
99,Khari Willis,71,97.0
88,Erik Harris,71,97.0
91,Davon Godchaux,70,101.0
96,Raekwon McMillan,70,101.0
102,Kareem Jackson,70,101.0
104,Brad McDougald,70,101.0
107,Grady Jarrett,70,101.0
92,Chuck Clark,69,107.0
111,Tre Boston,69,107.0
109,Jordan Whitehead,69,107.0
108,AJ Klein,69,107.0
106,Minkah Fitzpatrick,69,107.0
105,Danny Trevathan,69,107.0
100,Mychal Kendricks,69,107.0
103,Danielle Hunter,68,112.5
110,Harold Landry,68,112.5
113,Jonathan Allen,68,112.5
116,Rashaan Melvin,68,112.5
115,Joey Bosa,67,115.0
117,Kevin King,66,117.5
118,Myles Jack,66,117.5
112,Bud Dupree,66,117.5
114,Denzel Perryman,66,117.5
129,Jimmie Ward,65,122.5
126,AJ Bouye,65,122.5
123,Mike Hilton,65,122.5
128,Shaquill Griffin,65,122.5
121,Joe Walker,65,122.5
119,Joe Haden,65,122.5
133,Carlos Dunlap,64,127.5
130,Matt Ioannidis,64,127.5
139,Eric Wilson,64,127.5
120,Marcus Maye,64,127.5
125,James Bradberry,63,131.5
132,Xavier Rhodes,63,131.5
124,Bobby Okereke,63,131.5
134,Jeff Heath,63,131.5
140,Isaiah Oliver,62,139.0
156,Donald Payne,62,139.0
143,Montae Nicholson,62,139.0
142,Ross Cockrell,62,139.0
141,Rock Ya-Sin,62,139.0
158,Eddie Jackson,62,139.0
146,Kenny Clark,62,139.0
148,Deandre Baker,62,139.0
137,Sheldon Richardson,62,139.0
138,Deforest Buckner,62,139.0
135,Darryl Roberts,62,139.0
144,Foyesade Oluokun,61,148.5
147,Lawrence Guy,61,148.5
127,Patrick Onwuasor,61,148.5
150,Vernon Hargreaves,61,148.5
151,Steven Nelson,61,148.5
152,Janoris Jenkins,61,148.5
153,Nigel Bradham,61,148.5
155,Kenny Moore,61,148.5
172,Daryl Worley,60,157.0
160,Carlton Davis,60,157.0
159,Anthony Harris,60,157.0
157,Javon Hargrave,60,157.0
154,Damarious Randall,60,157.0
149,Richard Sherman,60,157.0
136,Jarrad Davis,60,157.0
122,Marlon Humphrey,60,157.0
168,Devin McCourty,60,157.0
161,Jomal Wiltz,59,163.5
162,Brian Poole,59,163.5
145,Danny Shelton,59,163.5
171,Jahlani Tavai,59,163.5
169,Troy Reeder,58,169.5
174,Eli Apple,58,169.5
175,Trae Waynes,58,169.5
173,Tre'Davious White,58,169.5
166,Juan Thornhill,58,169.5
165,Shaquil Barrett,58,169.5
164,Jaire Alexander,58,169.5
163,Vince Biegel,58,169.5
176,Daniel Sorensen,57,175.0
179,Marshon Lattimore,57,175.0
167,Devon Kennard,57,175.0
181,Preston Smith,56,178.5
187,Christian Wilkins,56,178.5
183,Chris Harris,56,178.5
184,Ben Niemann,56,178.5
194,Preston Brown,55,186.0
189,TJ Watt,55,186.0
188,Lorenzo Alexander,55,186.0
186,Za'Darius Smith,55,186.0
185,Da'ron Payne,55,186.0
193,Darnell Savage,55,186.0
180,Jalen Thompson,55,186.0
178,Kyle Van Noy,55,186.0
177,Calais Campbell,55,186.0
182,Tyeler Davison,55,186.0
192,Vince Williams,55,186.0
197,Justin Coleman,54,195.5
196,Rayshawn Jenkins,54,195.5
170,Dante Fowler Jr,54,195.5
190,Tre Herndon,54,195.5
198,Arik Armstead,54,195.5
131,Michael Brockers,54,195.5
191,Marcus Williams,54,195.5
199,Clayton Geathers,54,195.5
195,Matt Judon,52,200.0
