,NAME,QBH,QBH_rank
132,Shaquill Griffin,0,176.5
124,Prince Amukamara,0,176.5
122,Tre Flowers,0,176.5
120,Byron Jones,0,176.5
119,Darqueze Dennard,0,176.5
117,Steven Nelson,0,176.5
41,Justin Simmons,0,176.5
110,Jason McCourty,0,176.5
109,Janoris Jenkins,0,176.5
147,Marshon Lattimore,0,176.5
148,Dalvin Tomlinson,0,176.5
106,Chidobe Awuzie,0,176.5
102,Adoree` Jackson,0,176.5
154,Justin Evans,0,176.5
155,Rasul Douglas,0,176.5
156,Marcus Gilchrist,0,176.5
157,Josey Jewell,0,176.5
159,Fabian Moreau,0,176.5
160,Micah Hyde,0,176.5
162,Johnathan Joseph,0,176.5
93,Eli Apple,0,176.5
165,Hardy Nickerson Jr,0,176.5
168,Morris Claiborne,0,176.5
86,Jordan Whitehead,0,176.5
131,Joe Haden,0,176.5
