,NAME,QBH,QBH_rank
151,Aaron Donald,41,1.0
176,Dee Ford,31,2.0
135,JJ Watt,29,3.0
130,Demarcus Lawrence,24,4.0
116,TJ Watt,23,5.0
104,Calais Campbell,22,6.0
121,Deforest Buckner,21,7.5
146,Bradley Chubb,21,7.5
169,Trey Flowers,20,9.5
158,Jason Pierre-Paul,20,9.5
105,Danielle Hunter,18,11.5
153,Ndamukong Suh,18,11.5
199,Preston Smith,16,13.0
180,Akiem Hicks,15,14.0
141,Jonathan Allen,14,15.0
133,Jurrell Casey,13,16.0
145,Patrick Onwuasor,12,17.5
24,Demario Davis,12,17.5
150,Lawrence Guy,11,19.5
103,Lorenzo Alexander,11,19.5
42,Jayon Brown,10,21.5
38,Jarrad Davis,10,21.5
185,Kenny Clark,9,24.0
87,Vince Williams,9,24.0
50,Kyle Van Noy,9,24.0
173,Da'ron Payne,8,27.5
68,Damon Harrison,8,27.5
0,Darius Leonard,8,27.5
19,Jamal Adams,8,27.5
15,Tremaine Edmunds,7,32.5
21,Wesley Woodyard,7,32.5
33,Jamie Collins,7,32.5
18,Lavonte David,7,32.5
3,Bobby Wagner,7,32.5
71,Haason Reddick,7,32.5
77,Shaq Thompson,6,39.5
52,Jordan Hicks,6,39.5
16,Antoine Bethea,6,39.5
14,Jaylon Smith,6,39.5
140,Alex Anzalone,6,39.5
28,Derwin James,6,39.5
1,Blake Martinez,6,39.5
34,Joe Schobert,6,39.5
12,Roquan Smith,5,48.0
30,Benardrick McKinney,5,48.0
88,Logan Ryan,5,48.0
90,Brian Poole,5,48.0
53,Kevin Byard,5,48.0
20,Todd Davis,5,48.0
167,Mike Hilton,5,48.0
7,Luke Kuechly,5,48.0
62,Harrison Smith,5,48.0
118,Eric Weddle,4,61.0
183,Anthony Barr,4,61.0
9,Cory Littleton,4,61.0
166,Linval Joseph,4,61.0
100,Jon Bostic,4,61.0
163,Kenny Vaccaro,4,61.0
13,Avery Williamson,4,61.0
187,Michael Brockers,4,61.0
74,Jabrill Peppers,4,61.0
72,Jerome Baker,4,61.0
112,AJ Klein,4,61.0
113,Christian Jones,4,61.0
44,Nigel Bradham,4,61.0
26,Myles Jack,4,61.0
54,Tyrann Mathieu,4,61.0
35,Danny Trevathan,4,61.0
48,Alec Ogletree,4,61.0
79,Terrell Edmunds,3,75.5
172,Jonathan Jones,3,75.5
94,Josh Bynes,3,75.5
171,Briean Boddy-Calhoun,3,75.5
10,Kiko Alonso,3,75.5
57,Vonn Bell,3,75.5
5,Telvin Smith,3,75.5
36,Budda Baker,3,75.5
37,Jordan Poyer,3,75.5
136,BJ Goodson,3,75.5
115,Marquel Lee,3,75.5
83,Matt Milano,3,75.5
51,Foyesade Oluokun,2,94.0
98,Darron Lee,2,94.0
64,Patrick Chung,2,94.0
49,Ha'Sean Clinton-Dix,2,94.0
40,Zach Brown,2,94.0
149,BW Webb,2,94.0
11,Fred Warner,2,94.0
143,Darian Stewart,2,94.0
17,John Johnson,2,94.0
47,De'Vondre Campbell,2,94.0
138,Jordan Evans,2,94.0
137,Bobby McCain,2,94.0
134,Desmond King,2,94.0
23,Shawn Williams,2,94.0
97,Tony Jefferson,2,94.0
95,Glover Quin,2,94.0
45,Landon Collins,2,94.0
196,PJ Williams,2,94.0
31,CJ Mosley,2,94.0
32,Anthony Walker,2,94.0
76,Tre Boston,2,94.0
78,Thomas Davis,2,94.0
127,Elandon Roberts,2,94.0
55,Clayton Geathers,2,94.0
85,Kenny Moore,2,94.0
4,Anthony Hitchens,1,129.5
164,Michael Thomas,1,129.5
195,Nevin Lawson,1,129.5
43,Jatavis Brown,1,129.5
194,Rashaan Evans,1,129.5
191,Bene' Benwikere,1,129.5
189,Patrick Peterson,1,129.5
139,Duke Riley,1,129.5
188,Tashaun Gipson,1,129.5
25,Eric Kendricks,1,129.5
184,Josh Jones,1,129.5
142,Adarius Taylor,1,129.5
161,Buster Skrine,1,129.5
144,Mark Barron,1,129.5
2,Leighton Vander Esch,1,129.5
39,Malcolm Jenkins,1,129.5
178,Justin Coleman,1,129.5
152,Marcus Williams,1,129.5
8,Tahir Whitehead,1,129.5
177,Gerald Hodges,1,129.5
6,Mason Foster,1,129.5
181,Eric Murray,1,129.5
99,Donte Jackson,1,129.5
92,Mike Adams,1,129.5
82,Lamarcus Joyner,1,129.5
89,Jahleel Addae,1,129.5
91,Curtis Riley,1,129.5
128,Elijah Lee,1,129.5
96,Travis Carrie,1,129.5
80,Quandre Diggs,1,129.5
58,Kareem Jackson,1,129.5
198,Deion Jones,1,129.5
59,Reggie Ragland,1,129.5
101,Adrian Amos,1,129.5
73,Sean Davis,1,129.5
107,Reshad Jones,1,129.5
56,Justin Reid,1,129.5
111,James Bradberry,1,129.5
108,Eric Reid,1,129.5
84,Ron Parker,1,129.5
65,Nick Vigil,1,129.5
114,Malcolm Butler,1,129.5
125,Jaire Alexander,1,129.5
123,Desmond Trufant,1,129.5
27,Zach Cunningham,1,129.5
46,Adrian Phillips,1,129.5
197,Denzel Ward,0,176.5
66,Devin McCourty,0,176.5
174,Rashaan Melvin,0,176.5
175,Corey Graham,0,176.5
81,Brad McDougald,0,176.5
67,Kendall Fuller,0,176.5
193,AJ Bouye,0,176.5
70,Minkah Fitzpatrick,0,176.5
192,Ben Gedeon,0,176.5
182,Xavier Woods,0,176.5
22,Jessie Bates III,0,176.5
190,Tre'Davious White,0,176.5
60,TJ McDonald,0,176.5
69,Damontae Kazee,0,176.5
61,Jeff Heath,0,176.5
186,Tramon Williams,0,176.5
29,Raekwon McMillan,0,176.5
75,Pierre Desir,0,176.5
179,Kyle Fuller,0,176.5
129,Josh Norman,0,176.5
170,Tedric Thompson,0,176.5
126,Jalen Ramsey,0,176.5
63,Damarious Randall,0,176.5
