,NAME,AST,AST_rank
116,Justin Simmons,19,103.0
152,Jurrell Casey,19,103.0
52,James Bradberry,19,103.0
149,Manti Te'o,19,103.0
173,Jonathan Cyprien,19,103.0
97,Kareem Jackson,18,108.0
164,Zach Vigil,18,108.0
146,Paul Posluszny,18,108.0
197,Mike Mitchell,18,108.0
159,Jadeveon Clowney,18,108.0
145,Trey Flowers,17,116.0
134,Josh Norman,17,116.0
199,Jaquiski Tartt,17,116.0
77,Khalil Mack,17,116.0
26,Devin McCourty,17,116.0
98,Eddie Jackson,17,116.0
198,AJ Klein,17,116.0
104,John Johnson,17,116.0
79,Harrison Smith,17,116.0
62,Micah Hyde,17,116.0
73,DJ Swearinger,17,116.0
148,Deforest Buckner,16,125.5
91,Barry Church,16,125.5
111,Tre'Davious White,16,125.5
128,Justin Evans,16,125.5
109,Budda Baker,16,125.5
189,Michael Brockers,16,125.5
105,Joey Bosa,16,125.5
191,Ricardo Allen,16,125.5
96,Kyle Van Noy,15,132.5
82,Chris Conte,15,132.5
155,Mike Hilton,15,132.5
195,Rodney McLeod,15,132.5
139,Brian Poole,15,132.5
125,Tyvon Branch,15,132.5
70,Ha'Sean Clinton-Dix,14,141.0
55,Travis Carrie,14,141.0
181,Cory James,14,141.0
87,Darian Thompson,14,141.0
192,TJ Watt,14,141.0
147,Jamar Taylor,14,141.0
144,Adrian Phillips,14,141.0
99,Marcus Williams,14,141.0
142,Cameron Jordan,14,141.0
132,Daryl Worley,14,141.0
137,Eric Weddle,14,141.0
123,Eric Reid,13,151.5
176,Melvin Ingram,13,151.5
101,Reuben Foster,13,151.5
53,Mark Barron,13,151.5
133,Jalen Mills,13,151.5
93,Malcolm Jenkins,13,151.5
94,Kendell Beckwith,13,151.5
108,Lorenzo Alexander,13,151.5
186,Derrick Kindred,13,151.5
162,Justin Houston,13,151.5
187,Tavon Wilson,12,160.5
194,K'Waun Williams,12,160.5
183,Kendall Fuller,12,160.5
178,Xavier Rhodes,12,160.5
60,Patrick Chung,12,160.5
172,Jabrill Peppers,12,160.5
143,Logan Ryan,12,160.5
158,Kenny Vaccaro,12,160.5
163,EJ Gaines,11,168.5
129,Jason McCourty,11,168.5
138,Jalen Ramsey,11,168.5
107,Josh Jones,11,168.5
135,Darian Stewart,11,168.5
150,Ryan Smith,11,168.5
130,Tashaun Gipson,11,168.5
177,Marcus Gilchrist,11,168.5
89,Desmond King,10,174.5
182,Quandre Diggs,10,174.5
156,Matt Judon,10,174.5
170,Antoine Bethea,10,174.5
179,Anthony Brown,9,177.5
106,Adoree` Jackson,9,177.5
167,Shaquill Griffin,8,183.0
83,Tyrann Mathieu,8,183.0
122,Jeff Heath,8,183.0
127,Trumaine Johnson,8,183.0
126,Ron Parker,8,183.0
185,Dre Kirkpatrick,8,183.0
81,Dontae Johnson,8,183.0
188,Trevor Williams,8,183.0
120,Kyle Fuller,8,183.0
141,Buster Skrine,7,191.0
196,Ken Crawley,7,191.0
115,Adrian Amos,7,191.0
121,Robert Alford,7,191.0
161,Chandler Jones,7,191.0
131,Trae Waynes,7,191.0
190,Artie Burns,7,191.0
169,Von Miller,6,196.5
193,Jourdan Lewis,6,196.5
154,Darius Slay,6,196.5
175,Brandon Carr,6,196.5
153,Malcolm Butler,5,199.0
174,AJ Bouye,3,200.0
