,NAME,AST,AST_rank
1,Preston Brown,60,1.0
2,Joe Schobert,56,2.0
3,Christian Kirksey,52,3.0
0,Blake Martinez,49,4.5
10,Luke Kuechly,49,4.5
15,Eric Kendricks,48,6.0
4,Deion Jones,47,7.5
8,NaVorro Bowman,47,7.5
18,Antonio Morrison,43,9.5
9,Zach Brown,43,9.5
24,Jon Bostic,42,11.0
45,Zach Cunningham,40,13.0
36,Avery Williamson,40,13.0
11,Wesley Woodyard,40,13.0
28,Matthias Farley,38,15.0
7,Bobby Wagner,37,16.0
14,Kiko Alonso,36,18.5
17,KJ Wright,36,18.5
5,Demario Davis,36,18.5
6,CJ Mosley,36,18.5
80,Nick Vigil,34,21.5
63,Todd Davis,34,21.5
13,Keanu Neal,33,23.5
30,Benardrick McKinney,33,23.5
48,Earl Thomas,32,27.0
32,Alec Ogletree,32,27.0
34,Jordan Poyer,32,27.0
56,Vincent Rey,32,27.0
16,Tahir Whitehead,32,27.0
29,Jarrad Davis,31,31.5
19,Brandon Marshall,31,31.5
22,Sean Lee,31,31.5
35,De'Vondre Campbell,31,31.5
92,Martrell Spaight,30,35.5
65,Jaylon Smith,30,35.5
38,Danny Trevathan,30,35.5
27,Jahleel Addae,30,35.5
41,Christian Jones,29,38.5
58,Anthony Hitchens,29,38.5
95,James Burgess,28,42.5
50,Ramon Humber,28,42.5
12,Reshad Jones,28,42.5
118,Linval Joseph,28,42.5
66,Jake Ryan,28,42.5
46,Reggie Nelson,28,42.5
47,Nigel Bradham,27,47.0
33,Darron Lee,27,47.0
25,Kwon Alexander,27,47.0
21,Telvin Smith,26,51.5
136,Brock Coyle,26,51.5
20,Landon Collins,26,51.5
71,Craig Robertson,26,51.5
76,Andrew Sendejo,26,51.5
84,Damon Harrison,26,51.5
67,Byron Jones,25,58.0
86,Kurt Coleman,25,58.0
68,Jatavis Brown,25,58.0
72,George Iloka,25,58.0
49,Kevin Byard,25,58.0
100,Hayes Pullard,25,58.0
23,Lavonte David,25,58.0
54,Glover Quin,24,65.5
85,Thomas Davis,24,65.5
51,Darqueze Dennard,24,65.5
64,Deone Bucannon,24,65.5
40,Myles Jack,24,65.5
103,Derrick Johnson,24,65.5
88,Anthony Barr,24,65.5
102,Andre Hal,24,65.5
160,Demarcus Lawrence,23,73.0
114,Elandon Roberts,23,73.0
113,Brad McDougald,23,73.0
74,Tre Boston,23,73.0
180,Kenny Clark,23,73.0
39,Patrick Onwuasor,23,73.0
166,Lawrence Guy,23,73.0
69,Marcus Maye,22,79.0
78,Tony Jefferson,22,79.0
171,Calvin Munson,22,79.0
43,Daniel Sorensen,22,79.0
90,Mychal Kendricks,22,79.0
168,Deshazor Everett,21,87.0
31,Karlos Dansby,21,87.0
37,Sean Davis,21,87.0
44,Ryan Shazier,21,87.0
110,Mike Adams,21,87.0
184,Grady Jarrett,21,87.0
112,Jason Pierre-Paul,21,87.0
59,Vonn Bell,21,87.0
75,Karl Joseph,21,87.0
157,Nicholas Morrow,21,87.0
57,Lawrence Timmons,21,87.0
151,Shaq Thompson,20,96.5
117,Morgan Burnett,20,96.5
165,Bruce Irvin,20,96.5
119,Calais Campbell,20,96.5
140,Ray Ray Armstrong,20,96.5
42,Vince Williams,20,96.5
124,Vontaze Burfict,20,96.5
61,Jamal Adams,20,96.5
