,NAME,FUMR TD,FUMR TD_rank
122,Marlon Humphrey,2,1.5
48,Devin White,2,1.5
86,Jamal Adams,1,10.0
170,Dante Fowler Jr,1,10.0
29,Devin Bush,1,10.0
36,Jayon Brown,1,10.0
23,Rashaan Evans,1,10.0
177,Calais Campbell,1,10.0
178,Kyle Van Noy,1,10.0
138,Deforest Buckner,1,10.0
167,Devon Kennard,1,10.0
102,Kareem Jackson,1,10.0
106,Minkah Fitzpatrick,1,10.0
94,Markus Golden,1,10.0
98,Dont'a Hightower,1,10.0
153,Nigel Bradham,1,10.0
49,Vonn Bell,1,10.0
144,Foyesade Oluokun,0,109.0
130,Matt Ioannidis,0,109.0
143,Montae Nicholson,0,109.0
131,Michael Brockers,0,109.0
132,Xavier Rhodes,0,109.0
142,Ross Cockrell,0,109.0
141,Rock Ya-Sin,0,109.0
134,Jeff Heath,0,109.0
135,Darryl Roberts,0,109.0
136,Jarrad Davis,0,109.0
129,Jimmie Ward,0,109.0
137,Sheldon Richardson,0,109.0
139,Eric Wilson,0,109.0
140,Isaiah Oliver,0,109.0
133,Carlos Dunlap,0,109.0
0,Bobby Wagner,0,109.0
126,AJ Bouye,0,109.0
127,Patrick Onwuasor,0,109.0
105,Danny Trevathan,0,109.0
107,Grady Jarrett,0,109.0
108,AJ Klein,0,109.0
109,Jordan Whitehead,0,109.0
110,Harold Landry,0,109.0
111,Tre Boston,0,109.0
112,Bud Dupree,0,109.0
113,Jonathan Allen,0,109.0
114,Denzel Perryman,0,109.0
128,Shaquill Griffin,0,109.0
115,Joey Bosa,0,109.0
117,Kevin King,0,109.0
118,Myles Jack,0,109.0
119,Joe Haden,0,109.0
120,Marcus Maye,0,109.0
121,Joe Walker,0,109.0
123,Mike Hilton,0,109.0
124,Bobby Okereke,0,109.0
125,James Bradberry,0,109.0
145,Danny Shelton,0,109.0
116,Rashaan Melvin,0,109.0
146,Kenny Clark,0,109.0
152,Janoris Jenkins,0,109.0
148,Deandre Baker,0,109.0
179,Marshon Lattimore,0,109.0
180,Jalen Thompson,0,109.0
181,Preston Smith,0,109.0
182,Tyeler Davison,0,109.0
183,Chris Harris,0,109.0
184,Ben Niemann,0,109.0
185,Da'ron Payne,0,109.0
186,Za'Darius Smith,0,109.0
187,Christian Wilkins,0,109.0
188,Lorenzo Alexander,0,109.0
189,TJ Watt,0,109.0
190,Tre Herndon,0,109.0
191,Marcus Williams,0,109.0
192,Vince Williams,0,109.0
193,Darnell Savage,0,109.0
194,Preston Brown,0,109.0
195,Matt Judon,0,109.0
196,Rayshawn Jenkins,0,109.0
197,Justin Coleman,0,109.0
176,Daniel Sorensen,0,109.0
175,Trae Waynes,0,109.0
174,Eli Apple,0,109.0
173,Tre'Davious White,0,109.0
149,Richard Sherman,0,109.0
150,Vernon Hargreaves,0,109.0
151,Steven Nelson,0,109.0
154,Damarious Randall,0,109.0
155,Kenny Moore,0,109.0
156,Donald Payne,0,109.0
157,Javon Hargrave,0,109.0
158,Eddie Jackson,0,109.0
159,Anthony Harris,0,109.0
147,Lawrence Guy,0,109.0
160,Carlton Davis,0,109.0
162,Brian Poole,0,109.0
163,Vince Biegel,0,109.0
164,Jaire Alexander,0,109.0
165,Shaquil Barrett,0,109.0
166,Juan Thornhill,0,109.0
168,Devin McCourty,0,109.0
169,Troy Reeder,0,109.0
171,Jahlani Tavai,0,109.0
172,Daryl Worley,0,109.0
161,Jomal Wiltz,0,109.0
104,Brad McDougald,0,109.0
99,Khari Willis,0,109.0
101,Ronnie Harrison,0,109.0
26,Deion Jones,0,109.0
27,Antoine Bethea,0,109.0
28,Eric Kendricks,0,109.0
30,Shaq Thompson,0,109.0
31,Eric Weddle,0,109.0
32,Tahir Whitehead,0,109.0
33,Jordan Poyer,0,109.0
34,Cole Holcomb,0,109.0
35,Terrell Edmunds,0,109.0
25,Nick Vigil,0,109.0
37,Jon Bostic,0,109.0
39,Matt Milano,0,109.0
40,Benardrick McKinney,0,109.0
41,Taylor Rapp,0,109.0
42,Roquan Smith,0,109.0
43,Jessie Bates III,0,109.0
44,Tavon Wilson,0,109.0
45,Alexander Johnson,0,109.0
46,Justin Simmons,0,109.0
47,Dre Greenlaw,0,109.0
38,Tracy Walker,0,109.0
50,Anthony Hitchens,0,109.0
24,Demario Davis,0,109.0
21,Logan Ryan,0,109.0
1,Blake Martinez,0,109.0
2,Jordan Hicks,0,109.0
3,Budda Baker,0,109.0
4,Luke Kuechly,0,109.0
5,Zach Cunningham,0,109.0
6,Jaylon Smith,0,109.0
7,Todd Davis,0,109.0
8,Cory Littleton,0,109.0
9,Joe Schobert,0,109.0
22,Thomas Davis,0,109.0
10,KJ Wright,0,109.0
12,De'Vondre Campbell,0,109.0
13,Jerome Baker,0,109.0
14,Anthony Walker,0,109.0
15,Lavonte David,0,109.0
16,Darius Leonard,0,109.0
17,Fred Warner,0,109.0
18,Landon Collins,0,109.0
19,Tremaine Edmunds,0,109.0
20,Shawn Williams,0,109.0
11,Eric Reid,0,109.0
103,Danielle Hunter,0,109.0
51,Sean Lee,0,109.0
53,Harrison Smith,0,109.0
78,Nick Kwiatkoski,0,109.0
79,Levi Wallace,0,109.0
80,Germaine Pratt,0,109.0
81,Haason Reddick,0,109.0
82,Sam Hubbard,0,109.0
83,Jabrill Peppers,0,109.0
84,Tyrann Mathieu,0,109.0
85,Drue Tranquill,0,109.0
87,Neville Hewitt,0,109.0
77,Xavier Woods,0,109.0
88,Erik Harris,0,109.0
90,Damontae Kazee,0,109.0
91,Davon Godchaux,0,109.0
92,Chuck Clark,0,109.0
93,Nicholas Morrow,0,109.0
95,Micah Hyde,0,109.0
96,Raekwon McMillan,0,109.0
97,Leighton Vander Esch,0,109.0
198,Arik Armstead,0,109.0
100,Mychal Kendricks,0,109.0
89,Charvarius Ward,0,109.0
52,Ricardo Allen,0,109.0
76,Rodney McLeod,0,109.0
74,Nathan Gerry,0,109.0
54,Adrian Amos,0,109.0
55,Kenny Vaccaro,0,109.0
56,Kevin Byard,0,109.0
57,Cameron Heyward,0,109.0
58,David Mayo,0,109.0
59,Kyle Fuller,0,109.0
60,Jamie Collins,0,109.0
61,Mack Wilson,0,109.0
62,Mark Barron,0,109.0
75,Justin Reid,0,109.0
63,Tre Flowers,0,109.0
65,Eric Rowe,0,109.0
66,Malcolm Jenkins,0,109.0
67,Alec Ogletree,0,109.0
68,James Burgess,0,109.0
69,Jarrod Wilson,0,109.0
70,Chidobe Awuzie,0,109.0
71,Anthony Barr,0,109.0
72,Byron Murphy,0,109.0
73,Ha'Sean Clinton-Dix,0,109.0
64,Damien Wilson,0,109.0
199,Clayton Geathers,0,109.0
