,NAME,FF,FF_rank
115,Adrian Amos,1,72.0
144,Adrian Phillips,1,72.0
83,Tyrann Mathieu,1,72.0
147,Jamar Taylor,1,72.0
0,Blake Martinez,1,72.0
171,Calvin Munson,1,72.0
182,Quandre Diggs,1,72.0
39,Patrick Onwuasor,1,72.0
38,Danny Trevathan,1,72.0
37,Sean Davis,1,72.0
170,Antoine Bethea,1,72.0
183,Kendall Fuller,1,72.0
32,Alec Ogletree,1,72.0
185,Dre Kirkpatrick,1,72.0
29,Jarrad Davis,1,72.0
28,Matthias Farley,1,72.0
187,Tavon Wilson,1,72.0
25,Kwon Alexander,1,72.0
22,Sean Lee,1,72.0
21,Telvin Smith,1,72.0
20,Landon Collins,1,72.0
19,Brandon Marshall,1,72.0
189,Michael Brockers,1,72.0
15,Eric Kendricks,1,72.0
192,TJ Watt,1,72.0
10,Luke Kuechly,1,72.0
9,Zach Brown,1,72.0
195,Rodney McLeod,1,72.0
4,Deion Jones,1,72.0
41,Christian Jones,1,72.0
181,Cory James,1,72.0
35,De'Vondre Campbell,1,72.0
44,Ryan Shazier,1,72.0
45,Zach Cunningham,1,72.0
180,Kenny Clark,1,72.0
46,Reggie Nelson,1,72.0
61,Jamal Adams,1,72.0
58,Anthony Hitchens,1,72.0
47,Nigel Bradham,1,72.0
179,Anthony Brown,1,72.0
59,Vonn Bell,1,72.0
52,James Bradberry,1,72.0
50,Ramon Humber,1,72.0
177,Marcus Gilchrist,1,72.0
166,Lawrence Guy,0,153.0
139,Brian Poole,0,153.0
193,Jourdan Lewis,0,153.0
167,Shaquill Griffin,0,153.0
191,Ricardo Allen,0,153.0
172,Jabrill Peppers,0,153.0
196,Ken Crawley,0,153.0
197,Mike Mitchell,0,153.0
135,Darian Stewart,0,153.0
138,Jalen Ramsey,0,153.0
190,Artie Burns,0,153.0
164,Zach Vigil,0,153.0
174,AJ Bouye,0,153.0
143,Logan Ryan,0,153.0
175,Brandon Carr,0,153.0
176,Melvin Ingram,0,153.0
188,Trevor Williams,0,153.0
162,Justin Houston,0,153.0
186,Derrick Kindred,0,153.0
146,Paul Posluszny,0,153.0
178,Xavier Rhodes,0,153.0
184,Grady Jarrett,0,153.0
158,Kenny Vaccaro,0,153.0
157,Nicholas Morrow,0,153.0
149,Manti Te'o,0,153.0
154,Darius Slay,0,153.0
173,Jonathan Cyprien,0,153.0
133,Jalen Mills,0,153.0
99,Marcus Williams,0,153.0
131,Trae Waynes,0,153.0
67,Byron Jones,0,153.0
63,Todd Davis,0,153.0
62,Micah Hyde,0,153.0
60,Patrick Chung,0,153.0
57,Lawrence Timmons,0,153.0
56,Vincent Rey,0,153.0
55,Travis Carrie,0,153.0
53,Mark Barron,0,153.0
51,Darqueze Dennard,0,153.0
49,Kevin Byard,0,153.0
48,Earl Thomas,0,153.0
43,Daniel Sorensen,0,153.0
42,Vince Williams,0,153.0
40,Myles Jack,0,153.0
34,Jordan Poyer,0,153.0
31,Karlos Dansby,0,153.0
30,Benardrick McKinney,0,153.0
27,Jahleel Addae,0,153.0
26,Devin McCourty,0,153.0
24,Jon Bostic,0,153.0
18,Antonio Morrison,0,153.0
17,KJ Wright,0,153.0
16,Tahir Whitehead,0,153.0
12,Reshad Jones,0,153.0
11,Wesley Woodyard,0,153.0
8,NaVorro Bowman,0,153.0
7,Bobby Wagner,0,153.0
5,Demario Davis,0,153.0
1,Preston Brown,0,153.0
68,Jatavis Brown,0,153.0
70,Ha'Sean Clinton-Dix,0,153.0
72,George Iloka,0,153.0
74,Tre Boston,0,153.0
130,Tashaun Gipson,0,153.0
128,Justin Evans,0,153.0
126,Ron Parker,0,153.0
123,Eric Reid,0,153.0
121,Robert Alford,0,153.0
120,Kyle Fuller,0,153.0
118,Linval Joseph,0,153.0
116,Justin Simmons,0,153.0
114,Elandon Roberts,0,153.0
113,Brad McDougald,0,153.0
107,Josh Jones,0,153.0
104,John Johnson,0,153.0
101,Reuben Foster,0,153.0
100,Hayes Pullard,0,153.0
132,Daryl Worley,0,153.0
96,Kyle Van Noy,0,153.0
92,Martrell Spaight,0,153.0
91,Barry Church,0,153.0
90,Mychal Kendricks,0,153.0
89,Desmond King,0,153.0
88,Anthony Barr,0,153.0
87,Darian Thompson,0,153.0
86,Kurt Coleman,0,153.0
85,Thomas Davis,0,153.0
84,Damon Harrison,0,153.0
81,Dontae Johnson,0,153.0
80,Nick Vigil,0,153.0
79,Harrison Smith,0,153.0
78,Tony Jefferson,0,153.0
76,Andrew Sendejo,0,153.0
93,Malcolm Jenkins,0,153.0
199,Jaquiski Tartt,0,153.0
