,NAME,FF,FF_rank
165,Bruce Irvin,4,2.0
54,Glover Quin,4,2.0
23,Lavonte David,4,2.0
109,Budda Baker,3,7.0
108,Lorenzo Alexander,3,7.0
106,Adoree` Jackson,3,7.0
6,CJ Mosley,3,7.0
105,Joey Bosa,3,7.0
160,Demarcus Lawrence,3,7.0
13,Keanu Neal,3,7.0
145,Trey Flowers,2,24.5
102,Andre Hal,2,24.5
33,Darron Lee,2,24.5
36,Avery Williamson,2,24.5
94,Kendell Beckwith,2,24.5
66,Jake Ryan,2,24.5
156,Matt Judon,2,24.5
159,Jadeveon Clowney,2,24.5
82,Chris Conte,2,24.5
161,Chandler Jones,2,24.5
163,EJ Gaines,2,24.5
169,Von Miller,2,24.5
134,Josh Norman,2,24.5
150,Ryan Smith,2,24.5
153,Malcolm Butler,2,24.5
64,Deone Bucannon,2,24.5
141,Buster Skrine,2,24.5
112,Jason Pierre-Paul,2,24.5
129,Jason McCourty,2,24.5
2,Joe Schobert,2,24.5
110,Mike Adams,2,24.5
140,Ray Ray Armstrong,2,24.5
194,K'Waun Williams,2,24.5
137,Eric Weddle,2,24.5
3,Christian Kirksey,2,24.5
14,Kiko Alonso,2,24.5
122,Jeff Heath,2,24.5
119,Calais Campbell,2,24.5
127,Trumaine Johnson,1,72.0
111,Tre'Davious White,1,72.0
136,Brock Coyle,1,72.0
75,Karl Joseph,1,72.0
73,DJ Swearinger,1,72.0
71,Craig Robertson,1,72.0
69,Marcus Maye,1,72.0
168,Deshazor Everett,1,72.0
77,Khalil Mack,1,72.0
125,Tyvon Branch,1,72.0
155,Mike Hilton,1,72.0
124,Vontaze Burfict,1,72.0
152,Jurrell Casey,1,72.0
151,Shaq Thompson,1,72.0
95,James Burgess,1,72.0
97,Kareem Jackson,1,72.0
98,Eddie Jackson,1,72.0
198,AJ Klein,1,72.0
148,Deforest Buckner,1,72.0
117,Morgan Burnett,1,72.0
65,Jaylon Smith,1,72.0
142,Cameron Jordan,1,72.0
103,Derrick Johnson,1,72.0
