
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Chris Matthews",61,"BAL","6","6","3","1","25",0,"25",0,"12",0,0
"Victor Bolden Jr.",61,"SF","9",0,0,0,0,0,0,0,0,0,0
"Mose Frazier",61,"CAR","1",0,0,0,0,0,0,0,0,0,0
"Brittan Golden",61,"ARI","13","9","5","0.7","70",0,"56.7",0,"29",0,0
"Ed Eagan",61,"NYG","4","1",0,"0.2",0,0,0,0,0,0,0
"Tommylee Lewis",61,"NO","15","15","10","1","116",0,"65","1","52","1","1"
"Ardarius Stewart",73,"NYJ","15","13","6","0.9","82",0,"77",0,"46",0,0
"Griff Whalen",60,"BAL","2","6","4","3","23",0,"5.8",0,"9",0,0
"Travis Rudolph",60,"NYG","7","21","8","3","101",0,"57",0,"29",0,0
"Marcus Johnson",60,"PHI","10","8","5","0.8","45",0,"29.7",0,"16","1","1"
"Kendrick Bourne",77,"SF","11","34","16","3.1","257",0,"106.2",0,"54",0,0
"Andy Jones",58,"DET","3",0,0,0,0,0,0,0,0,0,0
    
