
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Leonte Carroo",68,"MIA","9","4","2","0.4","94",0,"47","1","74",0,0
"Curtis Samuel",77,"CAR","13","65","39","5","494",0,"12.7","5","53","1","1"
"Jake Kumerow",66,"GB","5","11","8","2.2","103",0,"12.9","1","49",0,0
"Saeed Blacknall",68,"OAK","1",0,0,0,0,0,0,0,0,0,0
"Brian Quick",78,"WAS","6","3","3","0.5","18",0,"6",0,"6",0,0
"Keke Coutee",71,"HOU","6","41","28","6.8","287","1","10.2","1","40",0,0
"Eli Rogers",72,"PIT","3","14","12","4.7","79",0,"6.6",0,"17","1",0
"Nick Williams",72,"LAR","4","4","2","1","17",0,"8.5",0,"11",0,0
"Gehrig Dieter",67,"KC","4","3","1","0.8","22",0,"22",0,"22",0,0
"Devante Parker",80,"MIA","11","47","24","4.3","309","1","12.9","1","46",0,0
"Rashad Greene",70,"JAX","8","8","6","1","60",0,"10",0,"12","2","1"
"Keith Kirkwood",65,"NO","8","21","13","2.6","209",0,"16.1","2","42",0,0
"Michael Floyd",73,"WAS","13","24","10","1.8","100",0,"10","1","20",0,0
"Lance Lenoir",67,"DAL","7",0,0,0,0,0,0,0,0,0,0
"Jawill Davis",69,"NYG","7","8","4","1.1","40",0,"10",0,"22",0,0
"Chris Lacy",67,"DET","1","1",0,"1",0,0,0,0,0,0,0
"Tony Lippett",74,"NYG","3",0,0,0,0,0,0,0,0,0,0
"Will Fuller",80,"HOU","7","45","32","6.4","503","3","15.7","4","73",0,0
"Jehu Chesson",69,"WAS","6","2","1","0.3","7",0,"7",0,"7",0,0
"Brandon Powell",68,"DET","6","17","11","2.8","129","1","11.7",0,"41",0,0
"Bennie Fowler",69,"NYG","10","27","16","2.7","199",0,"12.4","1","26","1",0
"Damion Ratley",65,"CLE","13","20","13","1.5","144",0,"11.1",0,"27",0,0
"Da'mari Scott",65,"BUF","3",0,0,0,0,0,0,0,0,0,0
"Khadarel Hodge",65,"LAR","13","3","2","0.2","17",0,"8.5",0,"14",0,0
"Chad Beebe",66,"MIN","3","4","4","1.3","39",0,"9.8",0,"18",0,0
"Cameron Meredith",80,"NO","6","10","9","1.7","114",0,"12.7","1","46","1","1"
"Justin Watson",68,"TB","12","3","1","0.2","5",0,"5",0,"5",0,0
"Richie James",66,"SF","13","14","9","1.1","130",0,"14.4","1","53","2","1"
"Allen Lazard",65,"GB","1","1","1","1","7",0,"7",0,"7",0,0
"Brandon Tate",68,"NO","1",0,0,0,0,0,0,0,0,"1",0
"Johnny Holton",62,"OAK","1","1",0,"1",0,0,0,0,0,0,0
"Dontrelle Inman",73,"IND","9","39","28","4.3","304",0,"10.9","3","29",0,0
"Breshad Perriman",70,"CLE","10","25","16","2.5","340",0,"21.2","2","66",0,0
"J'mon Moore",68,"GB","12","3","2","0.2","15",0,"7.5",0,"10","1","1"
"Steven Dunbar",65,"SF","1",0,0,0,0,0,0,0,0,0,0
"Alshon Jeffery",88,"PHI","13","92","65","7.1","843","2","13","6","52","1",0
"Marcell Ateman",68,"OAK","7","31","15","4.4","154",0,"10.3","1","32",0,0
"Auden Tate",65,"CIN","4","12","4","3","35",0,"8.8",0,"15",0,0
"River Cracraft",68,"DEN","8","2","1","0.2","44",0,"44",0,"44","1","1"
"Cameron Batson",66,"TEN","11","11","8","1","82",0,"10.2",0,"26","1",0
"Rod Streater",67,"CLE","3",0,0,0,0,0,0,0,0,0,0
"Andy Jones",58,"DET","7","24","11","3.4","80",0,"7.3","1","15",0,0
"Isaiah McKenzie",69,"BUF","8","30","18","3.8","179",0,"9.9",0,"23","2","1"
"Deontay Burnett",69,"NYJ","5","15","10","3","143",0,"14.3",0,"29",0,0
"Trevor Davis",66,"GB","2",0,0,0,0,0,0,0,0,0,0
"Noah Brown",69,"DAL","8","8","5","1","54",0,"10.8",0,"22",0,0
"Aldrick Robinson",71,"MIN","14","35","17","2.5","231",0,"13.6","5","40",0,0
"Tim White",68,"BAL","3","1","1","0.3","14",0,"14",0,"14","1",0
"Jordan Matthews",73,"PHI","14","28","20","2","300",0,"15","2","56",0,0
"Maurice Harris",62,"WAS","12","47","28","3.9","304","1","10.9",0,"42","1",0
"Javon Wims",68,"CHI","4","5","4","1.2","32",0,"8",0,"16",0,0
"Cayleb Jones",67,"MIN","1",0,0,0,0,0,0,0,0,0,0
"Isaiah Ford",68,"MIA","1","1",0,"1",0,0,0,0,0,0,0
"Jalen Tolliver",67,"ARI","3","6","3","2","37",0,"12.3",0,"15",0,0
"Malik Turner",67,"SEA","6","3","2","0.5","20",0,"10",0,"19",0,0
"Martavis Bryant",78,"OAK","8","27","19","3.4","266",0,"14",0,"47","1","1"
"Jojo Natson",68,"LAR","13",0,0,0,0,0,0,0,0,"2","1"
"Cam Phillips",69,"BUF","2","1","1","0.5","9",0,"9",0,"9",0,0
"Jesus Wilson",65,"TB","5","5","4","1","52",0,"13",0,"25",0,0
"Brice Butler",70,"MIA","8","10","6","1.2","60",0,"10","1","23",0,0
"Marcus Johnson",60,"IND","5","8","6","1.6","102",0,"17","1","34",0,0
"Keenan Reynolds",62,"SEA","2",0,0,0,0,0,0,0,0,0,0
"Ray-Ray McCloud",67,"BUF","10","6","5","0.6","36",0,"7.2",0,"16","2","1"
"Victor Bolden Jr.",61,"BUF","6","4","1","0.7","10",0,"10",0,"10",0,0
"Quadree Henderson",68,"NYG","5",0,0,0,0,0,0,0,0,0,0
"Julian Edelman",90,"NE","12","108","74","9","850","2","11.5","6","36","1",0
"Cody Core",70,"CIN","14","28","13","2","160",0,"12.3","1","30",0,0
"Kamar Aiken",80,"PHI","5","7","6","1.4","53",0,"8.8",0,"18",0,0
"Darvin Kidsy",66,"WAS","1","2","1","2","8",0,"8",0,"8",0,0
"Geremy Davis",63,"LAC","14","1",0,"0.1",0,0,0,0,0,0,0
