
      NAME,RTG,TEAM,GP,TCKL,SOLO,AST,TFL,SCK,SCK YDS,QBH,PASS DEF,FF,FUMR,FUMR YDS,FUMR TD,INT,INT YDS,INT TD
"Blake Martinez",76,"GB","16","145","96","49","11.5","1",0,"2","8","1","2",0,0,"1","3",0
"Preston Brown",76,"BUF","16","144","84","60","7.5",0,0,"2","3",0,0,0,0,0,0,0
"Joe Schobert",78,"CLE","16","141","85","56","6.5","3",0,"7","3","2",0,0,0,"1","8",0
"Christian Kirksey",73,"CLE","16","139","87","52","9.5","3.5",0,"6","5","2","1",0,0,0,0,0
"Deion Jones",88,"ATL","16","138","91","47","11.5","1",0,0,"10","1",0,0,0,"3","42",0
"Demario Davis",84,"NYJ","16","133","97","36","14","5",0,"15","3",0,"1",0,0,0,0,0
"CJ Mosley",88,"BAL","16","133","97","36","12","1",0,"4","7","3","2","18",0,"2","94","1"
"Bobby Wagner",97,"SEA","16","134","97","37","14.5","1.5",0,"12","6",0,"1",0,"1","2","7",0
"NaVorro Bowman",90,"OAK","15","128","81","47","7.5","1.5",0,"6","3",0,"1","1",0,"1",0,0
"Zach Brown",84,"WAS","13","127","84","43","13.5","2.5",0,"5","2","1",0,0,0,0,0,0
"Luke Kuechly",99,"CAR","15","121","72","49","9","1.5",0,"5","5","1","2","34","1","2","23",0
"Wesley Woodyard",80,"TEN","16","124","84","40","13.5","5",0,"9","5",0,"2","4","1",0,0,0
"Reshad Jones",85,"MIA","16","121","93","28","5.5","1.5",0,"1","5",0,"3","14","2","2","15",0
"Keanu Neal",90,"ATL","16","116","83","33","4.5",0,0,0,"6","3","2",0,0,"1","19",0
"Kiko Alonso",75,"MIA","16","115","79","36","6.5","1",0,"5","1","2",0,0,0,0,0,0
"Eric Kendricks",76,"MIN","16","114","66","48","9","1",0,"6","6","1",0,0,0,"1","31","1"
"Tahir Whitehead",77,"DET","16","110","78","32","9.5","1",0,"4","2",0,"4","4",0,"1","18",0
"KJ Wright",80,"SEA","15","108","72","36","6",0,0,"2","6",0,"1",0,0,"1","1",0
"Antonio Morrison",70,"IND","15","108","65","43","3.5",0,0,0,"1",0,0,0,0,0,0,0
"Brandon Marshall",74,"DEN","16","106","75","31","6","3",0,"4","4","1","1",0,"1",0,0,0
"Landon Collins",85,"NYG","15","104","78","26","3.5",0,0,"2","6","1","2","1",0,"2","21",0
"Telvin Smith",90,"JAX","14","102","76","26","12","1",0,"2","5","1","2",0,"1","3","56","1"
"Sean Lee",82,"DAL","11","101","70","31","13",0,0,"1","1","1",0,0,0,"1","9",0
"Lavonte David",89,"TB","13","100","75","25","8",0,0,"3","1","4","5",0,"1",0,0,0
"Jon Bostic",71,"IND","14","98","56","42","8","1",0,"3","3",0,"1",0,0,0,0,0
"Kwon Alexander",77,"TB","12","97","70","27","7.5",0,0,"3","4","1",0,0,0,"3","70",0
"Devin McCourty",88,"NE","16","96","79","17","3","1",0,"1","5",0,"1",0,0,"1",0,0
"Jahleel Addae",78,"LAC","16","95","65","30","9.5","0.5",0,"1","7",0,0,0,0,0,0,0
"Matthias Farley",75,"IND","16","96","58","38","3",0,0,"3","7","1","1",0,0,"2","9",0
"Jarrad Davis",70,"DET","14","96","65","31","4.5","2",0,"4","3","1","1",0,0,"1","12",0
"Benardrick McKinney",85,"HOU","16","95","62","33","10","3",0,"9","1",0,0,0,0,0,0,0
"Karlos Dansby",78,"ARI","16","95","74","21","6","1",0,"5","4",0,"1",0,0,"1","4",0
"Alec Ogletree",75,"LAR","15","95","63","32","4","2",0,"5","10","1","1",0,0,"1","41","1"
"Darron Lee",73,"NYJ","15","94","67","27","10","3",0,"7","3","2",0,0,0,0,0,0
"Jordan Poyer",82,"BUF","15","95","63","32","4","2",0,"2","13",0,"1",0,0,"5","33","1"
"De'Vondre Campbell",77,"ATL","16","93","62","31","4","2",0,"6","4","1",0,0,0,0,0,0
"Avery Williamson",87,"TEN","16","92","52","40","6","3",0,"4","2","2",0,0,0,0,0,0
"Sean Davis",71,"PIT","16","93","72","21","7.5","1",0,"2","8","1",0,0,0,"3","76",0
"Danny Trevathan",82,"CHI","12","91","61","30","3","2",0,"4","5","1","1",0,0,"1","8",0
"Patrick Onwuasor",72,"BAL","16","90","67","23","4","1",0,"1","2","1","1",0,0,0,0,0
"Myles Jack",85,"JAX","16","89","65","24","6.5","2",0,"5","3",0,"1",0,"1",0,0,0
"Christian Jones",71,"CHI","16","89","60","29","5.5","2",0,"3","2","1","1",0,0,0,0,0
