
      NAME,RTG,TEAM,GP,ATT,YDS,YDS/ATT,ATT/G,100+ YDS,TD,LONG,FUM,FUML
"Le'Veon Bell",93,"PIT","15","321","1,291","59.5","21.4","4","9","27","3","2"
"David Johnson",89,"ARI","1","11","23","2.1","11",0,0,"6","2","1"
"Ezekiel Elliott",96,"DAL","10","242","983","38.2","24.2","5","7","30","1","1"
"Todd Gurley",95,"LAR","15","279","1,305","70.5","18.6","6","13","57","5","2"
"Kareem Hunt",89,"KC","16","272","1,327","106","17","6","8","69","1","1"
"LeSean McCoy",83,"BUF","16","287","1,138","61.9","17.9","4","6","48","3","1"
"Leonard Fournette",80,"JAX","13","268","1,040","47.8","20.6","5","9","90","2",0
"DeMarco Murray",89,"TEN","15","184","659","52.5","12.3","1","6","75","1","1"
"Devonta Freeman",88,"ATL","14","196","865","59.5","14","2","7","44","4","1"
"Melvin Gordon",90,"LAC","16","284","1,105","61.5","17.8","2","8","87","1",0
"Mark Ingram",87,"NO","16","230","1,124","78.6","14.4","4","12","72","3","3"
"Doug Martin",84,"TB","11","138","406","28.8","12.5",0,"3","27","1","1"
"Jay Ajayi",86,"PHI","14","208","873","66.5","14.9","2","1","71","3","2"
"Joe Mixon",87,"CIN","14","178","626","50.2","12.7","1","4","25","3","2"
"Jordan Howard",81,"CHI","16","276","1,122","58.7","17.2","5","9","53","1","1"
"Dalvin Cook",87,"MIN","4","74","354","19.8","18.5","1","2","33","1","1"
"Matt Forte",85,"NYJ","12","103","381","41.8","8.6",0,"2","20","1","1"
"Bilal Powell",77,"NYJ","15","178","772","60.2","11.9","2","5","75","1","1"
"Lamar Miller",86,"HOU","16","238","888","62.8","14.9",0,"3","21","1",0
"Marshawn Lynch",84,"OAK","15","207","891","66.5","13.8","2","7","51","1","1"
"Frank Gore",79,"IND","16","261","961","60.2","16.3","2","3","21","3",0
"Tevin Coleman",82,"ATL","15","156","628","60.5","10.4",0,"5","52","1",0
"Chris Thompson",77,"WAS","10","64","294","59.7","6.4",0,"2","61","3","2"
"Latavius Murray",81,"MIN","16","216","842","57","13.5","2","8","46","1",0
"Carlos Hyde",75,"SF","16","240","938","62.5","15","1","8","61","2","1"
"Darren Sproles",78,"PHI","3","15","61","9.5","5",0,0,"12","1","1"
"Jeremy Hill",80,"CIN","7","37","116","21.7","5.3",0,0,"13","1",0
"Derrick Henry",85,"TEN","16","176","744","64.9","11","2","5","75","1",0
"Adrian Peterson",85,"ARI","10","156","529","29.6","15.6","2","2","27","3","2"
"Isaiah Crowell",81,"CLE","16","206","853","71.8","12.9","1","2","59","1","1"
"Christian McCaffrey",92,"CAR","16","117","435","54.8","7.3",0,"2","40","2","1"
"Theo Riddick",74,"DET","16","84","286","50.1","5.2",0,"3","21","1","1"
"Jalston Fowler",80,"TEN","10","2","4","4","0.2",0,"1","3",0,0
"Jacquizz Rodgers",72,"TB","16","64","244","36.9","4",0,"1","36",0,0
"Aaron Jones",81,"GB","12","81","448","67.2","6.8","2","4","46",0,0
"Ameer Abdullah",75,"DET","14","165","552","49.7","11.8",0,"4","34","2","1"
"Danny Woodhead",84,"BAL","8","14","56","30","1.8",0,0,"10",0,0
"Lance Dunbar",79,"LAR","4","11","51","9.5","2.8",0,"1","12",0,0
"LeGarrette Blount",83,"PHI","16","173","766","62","10.8","1","2","68","1","1"
"Paul Perkins",75,"NYG","11","41","90","17.1","3.7",0,0,"14",0,0
"Mike Gillislee",75,"NE","9","104","383","33.9","11.6",0,"5","16","1","1"
"Alvin Kamara",88,"NO","16","120","728","104.6","7.5","1","8","74","1","1"
"Terrance West",80,"BAL","5","39","138","18","7.8",0,"2","13","1","1"
"James White",84,"NE","14","43","171","49.7","3.1",0,0,"10",0,0
"Giovani Bernard",80,"CIN","16","105","458","57.4","6.6","1","2","25",0,0
"Chris Ivory",81,"JAX","14","112","382","37.4","8",0,"1","34","2","2"
"Jalen Richard",73,"OAK","16","56","275","61.4","3.5",0,"1","52","8","3"
"Jerick McKinnon",84,"MIN","16","150","570","57.1","9.4",0,"3","58","3","2"
"Matt Breida",84,"SF","16","105","465","72.6","6.6",0,"2","33","1",0
"TJ Yeldon",78,"JAX","10","49","253","39.5","4.9","1","2","58","2","1"
"Rex Burkhead",77,"NE","10","64","264","37.2","6.4",0,"5","31","1",0
"CJ Anderson",81,"DEN","16","245","1,007","62.4","15.3","2","3","40","1","1"
"Dion Lewis",86,"NE","16","180","896","77.1","11.2","2","6","44",0,0
"CJ Prosise",76,"SEA","5","11","23","6","2.2",0,0,"8",0,0
"Eddie Lacy",83,"SEA","9","69","179","20.2","7.7",0,0,"19",0,0
"Chris Johnson",75,"ARI","4","45","114","10.2","11.2",0,0,"11",0,0
"Damien Williams",79,"MIA","11","46","181","28.4","4.2",0,0,"69",0,0
"Deandre Washington",74,"OAK","15","57","153","28.9","3.8",0,"2","11","2","1"
"Alfred Blue",75,"HOU","11","71","262","25.7","6.5","1","1","48",0,0
"Ty Montgomery",73,"GB","8","71","273","34.7","8.9",0,"3","37",0,0
"Jonathan Stewart",82,"CAR","15","198","680","49","13.2","2","6","60","3","3"
"Rob Kelley",79,"WAS","7","62","194","21.3","8.9",0,"3","21",0,0
"Duke Johnson",81,"CLE","16","82","348","69.8","5.1",0,"4","19","4","2"
"Charles Sims",83,"TB","16","21","95","53.3","1.3",0,0,"21","1","1"
"Marlon Mack",84,"IND","14","93","358","57.2","6.6",0,"3","35","1",0
"Thomas Rawls",82,"SEA","12","58","157","24.1","4.8",0,0,"23","1","1"
"Branden Oliver",77,"LAC","8","35","83","19.3","4.4",0,0,"26",0,0
"Robert Turbin",78,"IND","6","23","53","14.6","3.8",0,"1","7",0,0
"Shane Vereen",84,"NYG","16","45","164","45.3","2.8",0,0,"17",0,0
"Alfred Morris",74,"DAL","14","115","547","89.2","8.2","1","1","70",0,0
"Jamaal Charles",82,"DEN","14","69","296","45.4","4.9",0,"1","19","2","2"
"Samaje Perine",72,"WAS","16","175","603","43.6","10.9","2","1","30","2","2"
"Mike Davis",76,"SEA","6","68","240","21.1","11.3",0,0,"33",0,0
"Kerwynn Williams",72,"ARI","16","120","426","44.9","7.5",0,"1","25",0,0
"Wendell Smallwood",74,"PHI","8","47","174","26.2","5.9",0,"1","26",0,0
"Charcandrick West",77,"KC","13","18","72","39.8","1.4",0,"2","21","1",0
